,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.084920258758478,all:0,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",246.0,1
1,CV32E40PXISAACV1,1.1164852329702717,all:1,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,2
2,CV32E40PXISAACV2,1.1164852329702717,all:2,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,2
3,CV32E40PXISAACV3,1.1164852329702717,all:3,"SG1(II=1, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",246.0,2
6,CV32E40PXISAACV6,1.1164852329702717,all:6,"SG1(II=2, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",246.0,2
4,CV32E40PXISAACV4,1.1480502071820655,all:4,"SG1(II=1, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,3
5,CV32E40PXISAACV5,1.1480502071820655,all:5,"SG1(II=1, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,3
7,CV32E40PXISAACV7,1.1480502071820655,all:7,"SG1(II=2, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,3
8,CV32E40PXISAACV8,1.1480502071820655,all:8,"SG1(II=2, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,3
9,CV32E40PXISAACV9,1.1480502071820655,all:9,"SG1(II=1, lats={CUSTOM0: 3}, full_lats={CUSTOM0: 5}), SG2(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",246.0,3
12,CV32E40PXISAACV12,1.1480502071820655,all:12,"SG1(II=3, lats={CUSTOM0: 3}, full_lats={CUSTOM0: 5}), SG2(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",246.0,3
10,CV32E40PXISAACV10,1.1796151813938591,all:10,"SG1(II=1, lats={CUSTOM0: 3}, full_lats={CUSTOM0: 5}), SG2(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,4
11,CV32E40PXISAACV11,1.1796151813938591,all:11,"SG1(II=1, lats={CUSTOM0: 3}, full_lats={CUSTOM0: 5}), SG2(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,4
13,CV32E40PXISAACV13,1.1796151813938591,all:13,"SG1(II=3, lats={CUSTOM0: 3}, full_lats={CUSTOM0: 5}), SG2(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,4
14,CV32E40PXISAACV14,1.1796151813938591,all:14,"SG1(II=3, lats={CUSTOM0: 3}, full_lats={CUSTOM0: 5}), SG2(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",246.0,4
