label,t0,t1,td
bench_0,1779788250.026000,1779788257.760000,7.734000
trace_0,1779788257.781000,1779788281.790000,24.009000
isaac_0_load,1779788281.817000,1779788325.040000,43.223000
isaac_0_analyze,1779788325.062000,1779788353.550000,28.488000
isaac_0_visualize,1779788353.584000,1779788361.670000,8.086000
isaac_0_pick,1779788361.695000,1779788368.610000,6.915000
isaac_0_cdfg,1779788368.634000,1779788408.400000,39.766000
isaac_0_query,1779788408.421000,1779788497.400000,88.979000
isaac_0_generate,1779788497.421000,1779788509.200000,11.779000
assign_0_enc,1779788509.222000,1779788510.820000,1.598000
isaac_0_etiss,1779788510.847000,1779788514.490000,3.643000
seal5_0_splitted,1779788514.514000,1779789161.560000,647.046000
assign_0_seal5,1779789161.584000,1779789163.360000,1.776000
etiss_0,1779789163.382000,1779789198.990000,35.608000
compare_0,1779789199.010000,1779789220.170000,21.160000
compare_0_per_instr,1779789220.189000,1779789243.970000,23.781000
assign_0_compare_per_instr,1779789243.990000,1779789245.390000,1.400000
filter_0,1779789245.414000,1779789247.060000,1.646000
spec_0_filtered,1779789247.085000,1779789247.840000,.755000
isaac_0_generate_filtered,1779789247.858000,1779789259.020000,11.162000
isaac_0_etiss_filtered,1779789259.038000,1779789262.550000,3.512000
hls_0_filtered,1779789262.579000,1779791894.010000,2631.431000
assign_0_hls_filtered,1779791894.033000,1779791896.290000,2.257000
select_0_filtered,1779791896.316000,1779791922.260000,25.944000
isaac_0_etiss_filtered_selected,1779791922.282000,1779791925.800000,3.518000
hls_0_filtered_selected,1779791925.822000,1779792585.470000,659.648000
assign_0_hls_filtered_selected,1779792585.495000,1779792587.710000,2.215000
compare_0_filtered_selected,1779792587.743000,1779792608.540000,20.797000
assign_0_compare_filtered_selected,1779792608.562000,1779792608.590000,.028000
retrace_0_filtered_selected,1779792608.619000,1779792631.180000,22.561000
reanalyze_0_filtered_selected,1779792631.205000,1779792820.350000,189.145000
assign_0_util_filtered_selected,1779792820.379000,1779792821.750000,1.371000
etiss_perf_0_filtered_selected,1779792821.775000,1779793207.970000,386.195000
compare_perf_0_filtered_selected,1779793207.997000,1779793236.570000,28.573000
retrace_perf_0_filtered_selected,1779793236.593000,1779793249.130000,12.537000
report_0,1779793249.153000,1779793250.650000,1.497000
