,Model,Arch,uArch,Run Instructions,Run Instructions (rel.),Run Cycles,Run Cycles (rel.),Run CPI,Total ROM,Total RAM,ROM code,ROM code (rel.)
0,crc32,rv32im_zicsr_zifencei,CV32E40PXISAACV0,4005445,1.0,4702115,1.0,1.173930736784552,4224,1232,3124,1.0
1,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV0,3135044,0.7826955556748376,3831714,0.8148915966538461,1.222220166606912,4188,1232,3088,0.9884763124199744
2,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV1,3135044,0.7826955556748376,4005794,0.8519132347890258,1.277747297964558,4188,1232,3088,0.9884763124199744
3,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV2,3135044,0.7826955556748376,4005794,0.8519132347890258,1.277747297964558,4188,1232,3088,0.9884763124199744
4,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV3,3135044,0.7826955556748376,4005796,0.8519136601295374,1.277747935914137,4188,1232,3088,0.9884763124199744
5,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV4,3135044,0.7826955556748376,4179876,0.8889352982647171,1.333275067271783,4188,1232,3088,0.9884763124199744
6,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV5,3135044,0.7826955556748376,4179876,0.8889352982647171,1.333275067271783,4188,1232,3088,0.9884763124199744
7,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV6,3135044,0.7826955556748376,4005796,0.8519136601295374,1.277747935914137,4188,1232,3088,0.9884763124199744
8,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV7,3135044,0.7826955556748376,4179876,0.8889352982647171,1.333275067271783,4188,1232,3088,0.9884763124199744
9,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV8,3135044,0.7826955556748376,4179876,0.8889352982647171,1.333275067271783,4188,1232,3088,0.9884763124199744
10,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV9,3135044,0.7826955556748376,4005794,0.8519132347890258,1.277747297964558,4188,1232,3088,0.9884763124199744
11,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV10,3135044,0.7826955556748376,4179874,0.8889348729242054,1.333274429322204,4188,1232,3088,0.9884763124199744
12,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV11,3135044,0.7826955556748376,4179874,0.8889348729242054,1.333274429322204,4188,1232,3088,0.9884763124199744
13,crc32,rv32im_zicsr_zifencei_xisaaccustom4single_xisaaccustom6single_xisaaccustom10single_xisaaccustom12single,CV32E40PXISAACV12,3135044,0.7826955556748376,4179876,0.8889352982647171,1.333275067271783,4188,1232,3088,0.9884763124199744
