label,t0,t1,td
bench_0,1779305446.969000,1779305451.180000,4.211000
trace_0,1779305451.199000,1779305461.540000,10.341000
isaac_0_load,1779305461.563000,1779305473.610000,12.047000
isaac_0_analyze,1779305473.629000,1779305480.610000,6.981000
isaac_0_visualize,1779305480.635000,1779305484.270000,3.635000
isaac_0_pick,1779305484.294000,1779305487.490000,3.196000
isaac_0_cdfg,1779305487.509000,1779305507.780000,20.271000
isaac_0_query,1779305507.807000,1779305524.670000,16.863000
isaac_0_generate,1779305524.690000,1779305530.730000,6.040000
assign_0_enc,1779305530.756000,1779305531.690000,.934000
isaac_0_etiss,1779305531.714000,1779305533.950000,2.236000
seal5_0_splitted,1779305533.973000,1779305849.150000,315.177000
assign_0_seal5,1779305849.169000,1779305850.050000,.881000
etiss_0,1779305850.079000,1779305871.240000,21.161000
compare_0,1779305871.263000,1779305881.760000,10.497000
compare_0_per_instr,1779305881.785000,1779305898.230000,16.445000
assign_0_compare_per_instr,1779305898.261000,1779305899.140000,.879000
filter_0,1779305899.164000,1779305900.110000,.946000
spec_0_filtered,1779305900.138000,1779305900.610000,.472000
isaac_0_generate_filtered,1779305900.639000,1779305906.120000,5.481000
isaac_0_etiss_filtered,1779305906.145000,1779305907.920000,1.775000
fake_hls_0_filtered,1779305907.945000,1779305908.830000,.885000
assign_0_fake_hls_filtered,1779305908.856000,1779305910.010000,1.154000
select_0_filtered,1779305910.029000,1779305944.360000,34.331000
isaac_0_etiss_filtered_selected,1779305944.382000,1779305946.120000,1.738000
fake_hls_0_filtered_selected,1779305946.142000,1779305947.210000,1.068000
assign_0_fake_hls_filtered_selected,1779305947.232000,1779305948.360000,1.128000
compare_0_filtered_selected,1779305948.389000,1779305959.190000,10.801000
assign_0_compare_filtered_selected,1779305959.210000,1779305959.230000,.020000
retrace_0_filtered_selected,1779305959.258000,1779305967.590000,8.332000
reanalyze_0_filtered_selected,1779305967.618000,1779306028.010000,60.392000
assign_0_util_filtered_selected,1779306028.033000,1779306028.710000,.677000
etiss_perf_0_filtered_selected,1779306028.725000,1779306738.050000,709.325000
compare_perf_0_filtered_selected,1779306738.076000,1779306785.030000,46.954000
retrace_perf_0_filtered_selected,1779306785.056000,1779306791.190000,6.134000
report_0,1779306791.218000,1779306791.880000,.662000
