,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.222220166606912,all:0,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,1
1,CV32E40PXISAACV1,1.277747297964558,all:1,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0,2
2,CV32E40PXISAACV2,1.277747297964558,all:2,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0,2
18,CV32E40PXISAACV18,1.277747297964558,all:18,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,2
27,CV32E40PXISAACV27,1.277747297964558,all:27,"SG1(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,2
54,CV32E40PXISAACV54,1.277747297964558,all:54,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,2
9,CV32E40PXISAACV9,1.277747297964558,all:9,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,2
3,CV32E40PXISAACV3,1.277747935914137,all:3,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,3
6,CV32E40PXISAACV6,1.277747935914137,all:6,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,3
81,CV32E40PXISAACV81,1.333274429322204,all:81,"SG1(II=1, lats={CUSTOM4: 3}, full_lats={CUSTOM4: 5}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,4
72,CV32E40PXISAACV72,1.333274429322204,all:72,"SG1(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0,4
