,uarch,uarch_lower,variant,description,details,total_area_estimate
0,CV32E40PXISAACV0,cv32e40pxisaacv0,V0,all:0,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
1,CV32E40PXISAACV1,cv32e40pxisaacv1,V1,all:1,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
2,CV32E40PXISAACV2,cv32e40pxisaacv2,V2,all:2,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
3,CV32E40PXISAACV3,cv32e40pxisaacv3,V3,all:3,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
4,CV32E40PXISAACV4,cv32e40pxisaacv4,V4,all:4,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
5,CV32E40PXISAACV5,cv32e40pxisaacv5,V5,all:5,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
6,CV32E40PXISAACV6,cv32e40pxisaacv6,V6,all:6,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
7,CV32E40PXISAACV7,cv32e40pxisaacv7,V7,all:7,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
8,CV32E40PXISAACV8,cv32e40pxisaacv8,V8,all:8,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
9,CV32E40PXISAACV9,cv32e40pxisaacv9,V9,all:9,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
10,CV32E40PXISAACV10,cv32e40pxisaacv10,V10,all:10,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
11,CV32E40PXISAACV11,cv32e40pxisaacv11,V11,all:11,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
12,CV32E40PXISAACV12,cv32e40pxisaacv12,V12,all:12,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
13,CV32E40PXISAACV13,cv32e40pxisaacv13,V13,all:13,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
14,CV32E40PXISAACV14,cv32e40pxisaacv14,V14,all:14,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
15,CV32E40PXISAACV15,cv32e40pxisaacv15,V15,all:15,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
16,CV32E40PXISAACV16,cv32e40pxisaacv16,V16,all:16,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
17,CV32E40PXISAACV17,cv32e40pxisaacv17,V17,all:17,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})",492.0
18,CV32E40PXISAACV18,cv32e40pxisaacv18,V18,all:18,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=2, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})",492.0
