,num_groups,num_instrs,max_instrs,min_instrs,avg_instrs,min_ii,max_ii,avg_ii,min_lat,max_lat,avg_lat,total_area_estimate,total_area_estimate_with_lifetimes,Variant idx,Variant name,Variant description,Variant details
0,4,4,1,1,1.0,1,1,1.0,3,3,3.0,492.0,492.0,0,V0,all:0,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})"
1,4,4,1,1,1.0,1,1,1.0,3,4,3.25,492.0,492.0,1,V1,all:1,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})"
2,4,4,1,1,1.0,1,2,1.25,3,4,3.25,492.0,492.0,2,V2,all:2,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})"
3,4,4,1,1,1.0,1,1,1.0,3,4,3.25,492.0,492.0,3,V3,all:3,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})"
4,4,4,1,1,1.0,1,1,1.0,3,4,3.5,492.0,492.0,4,V4,all:4,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})"
5,4,4,1,1,1.0,1,2,1.25,3,4,3.5,492.0,492.0,5,V5,all:5,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})"
6,4,4,1,1,1.0,1,2,1.25,3,4,3.25,492.0,492.0,6,V6,all:6,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})"
7,4,4,1,1,1.0,1,2,1.25,3,4,3.5,492.0,492.0,7,V7,all:7,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=1, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})"
8,4,4,1,1,1.0,1,2,1.5,3,4,3.5,492.0,492.0,8,V8,all:8,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 1}, full_lats={CUSTOM6: 3}), SG3(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4}), SG4(II=2, lats={CUSTOM12: 2}, full_lats={CUSTOM12: 4})"
9,4,4,1,1,1.0,1,1,1.0,3,4,3.25,492.0,492.0,9,V9,all:9,"SG1(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3}), SG2(II=1, lats={CUSTOM6: 2}, full_lats={CUSTOM6: 4}), SG3(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3}), SG4(II=1, lats={CUSTOM12: 1}, full_lats={CUSTOM12: 3})"
