,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,crc32,rv32im_zicsr_zifencei,4005445,1.0,4224,1232,3124,1.0
1,crc32,rv32im_zicsr_zifencei_xisaaccustom0single,4005445,1.0,4224,1232,3124,1.0
2,crc32,rv32im_zicsr_zifencei_xisaaccustom1single,4005445,1.0,4224,1232,3124,1.0
3,crc32,rv32im_zicsr_zifencei_xisaaccustom2single,4005445,1.0,4224,1232,3124,1.0
4,crc32,rv32im_zicsr_zifencei_xisaaccustom3single,3657285,0.9130783221339952,4208,1232,3108,0.9948783610755442
5,crc32,rv32im_zicsr_zifencei_xisaaccustom4single,4005445,1.0,4224,1232,3124,1.0
6,crc32,rv32im_zicsr_zifencei_xisaaccustom5single,4005445,1.0,4224,1232,3124,1.0
7,crc32,rv32im_zicsr_zifencei_xisaaccustom6single,3831365,0.9565391610669975,4204,1232,3104,0.9935979513444302
8,crc32,rv32im_zicsr_zifencei_xisaaccustom7single,3831365,0.9565391610669975,4208,1232,3108,0.9948783610755442
9,crc32,rv32im_zicsr_zifencei_xisaaccustom8single,3831365,0.9565391610669975,4208,1232,3108,0.9948783610755442
10,crc32,rv32im_zicsr_zifencei_xisaaccustom9single,4005445,1.0,4224,1232,3124,1.0
11,crc32,rv32im_zicsr_zifencei_xisaaccustom10single,4005445,1.0,4224,1232,3124,1.0
12,crc32,rv32im_zicsr_zifencei_xisaaccustom11single,4005445,1.0,4224,1232,3124,1.0
13,crc32,rv32im_zicsr_zifencei_xisaaccustom12single,3831364,0.9565389114068474,4204,1232,3104,0.9935979513444302
14,crc32,rv32im_zicsr_zifencei_xisaaccustom13single,4005445,1.0,4224,1232,3124,1.0
15,crc32,rv32im_zicsr_zifencei_xisaaccustom14single,3831365,0.9565391610669975,4208,1232,3108,0.9948783610755442
16,crc32,rv32im_zicsr_zifencei_xisaaccustom15single,4005445,1.0,4224,1232,3124,1.0
17,crc32,rv32im_zicsr_zifencei_xisaaccustom16single,3831365,0.9565391610669975,4208,1232,3108,0.9948783610755442
18,crc32,rv32im_zicsr_zifencei_xisaaccustom17single,4005445,1.0,4224,1232,3124,1.0
19,crc32,rv32im_zicsr_zifencei_xisaaccustom18single,4005445,1.0,4224,1232,3124,1.0
20,crc32,rv32im_zicsr_zifencei_xisaaccustom19single,4005445,1.0,4224,1232,3124,1.0
21,crc32,rv32im_zicsr_zifencei_xisaaccustom20single,4005445,1.0,4224,1232,3124,1.0
