,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.2586481782601913,all:0,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG3(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",369.0,1
1,CV32E40PXISAACV1,1.261086829048966,all:1,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG3(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",369.0,2
2,CV32E40PXISAACV2,1.261086829048966,all:2,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG3(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",369.0,2
3,CV32E40PXISAACV3,1.2783544472603898,all:3,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG3(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",369.0,3
6,CV32E40PXISAACV6,1.2783544472603898,all:6,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG3(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",369.0,3
9,CV32E40PXISAACV9,1.2807191995404137,all:9,"SG1(II=1, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG3(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",369.0,4
18,CV32E40PXISAACV18,1.2807191995404137,all:18,"SG1(II=2, lats={CUSTOM0: 2}, full_lats={CUSTOM0: 4}), SG2(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG3(II=1, lats={CUSTOM4: 1}, full_lats={CUSTOM4: 3})",369.0,4
5,CV32E40PXISAACV5,1.2807930980491644,all:5,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG3(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",369.0,5
7,CV32E40PXISAACV7,1.2807930980491644,all:7,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG3(II=1, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",369.0,5
8,CV32E40PXISAACV8,1.2807930980491644,all:8,"SG1(II=1, lats={CUSTOM0: 1}, full_lats={CUSTOM0: 3}), SG2(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG3(II=2, lats={CUSTOM4: 2}, full_lats={CUSTOM4: 4})",369.0,5
