label,t0,t1,td
bench_0,1779795886.348000,1779795894.170000,7.822000
trace_0,1779795894.188000,1779795913.880000,19.692000
isaac_0_load,1779795913.904000,1779795941.020000,27.116000
isaac_0_analyze,1779795941.054000,1779795961.890000,20.836000
isaac_0_visualize,1779795961.909000,1779795970.340000,8.431000
isaac_0_pick,1779795970.362000,1779795977.110000,6.748000
isaac_0_cdfg,1779795977.136000,1779796020.270000,43.134000
isaac_0_query,1779796020.299000,1779796044.760000,24.461000
isaac_0_generate,1779796044.792000,1779796056.810000,12.018000
assign_0_enc,1779796056.836000,1779796058.430000,1.594000
isaac_0_etiss,1779796058.458000,1779796062.250000,3.792000
seal5_0_splitted,1779796062.277000,1779796743.670000,681.393000
assign_0_seal5,1779796743.701000,1779796745.240000,1.539000
etiss_0,1779796745.266000,1779796781.640000,36.374000
compare_0,1779796781.670000,1779796803.260000,21.590000
compare_0_per_instr,1779796803.278000,1779796826.980000,23.702000
assign_0_compare_per_instr,1779796827.007000,1779796828.580000,1.573000
filter_0,1779796828.604000,1779796830.450000,1.846000
spec_0_filtered,1779796830.480000,1779796831.420000,.940000
isaac_0_generate_filtered,1779796831.437000,1779796843.100000,11.663000
isaac_0_etiss_filtered,1779796843.125000,1779796846.910000,3.785000
hls_0_filtered,1779796846.932000,1779798447.970000,1601.038000
assign_0_hls_filtered,1779798447.994000,1779798450.360000,2.366000
select_0_filtered,1779798450.391000,1779798508.380000,57.989000
isaac_0_etiss_filtered_selected,1779798508.406000,1779798511.830000,3.424000
hls_0_filtered_selected,1779798511.856000,1779799165.080000,653.224000
assign_0_hls_filtered_selected,1779799165.106000,1779799167.360000,2.254000
compare_0_filtered_selected,1779799167.384000,1779799189.080000,21.696000
assign_0_compare_filtered_selected,1779799189.098000,1779799189.120000,.022000
retrace_0_filtered_selected,1779799189.144000,1779799208.130000,18.986000
reanalyze_0_filtered_selected,1779799208.154000,1779799376.580000,168.426000
assign_0_util_filtered_selected,1779799376.607000,1779799378.150000,1.543000
etiss_perf_0_filtered_selected,1779799378.165000,1779799647.950000,269.785000
compare_perf_0_filtered_selected,1779799647.975000,1779799675.860000,27.885000
retrace_perf_0_filtered_selected,1779799675.891000,1779799687.870000,11.979000
report_0,1779799687.896000,1779799689.350000,1.454000
