label,t0,t1,td
bench_0,1779301544.317000,1779301548.700000,4.383000
trace_0,1779301548.724000,1779301556.730000,8.006000
isaac_0_load,1779301556.750000,1779301564.790000,8.040000
isaac_0_analyze,1779301564.809000,1779301570.430000,5.621000
isaac_0_visualize,1779301570.457000,1779301574.240000,3.783000
isaac_0_pick,1779301574.259000,1779301577.150000,2.891000
isaac_0_cdfg,1779301577.171000,1779301602.670000,25.499000
isaac_0_query,1779301602.697000,1779301622.210000,19.513000
isaac_0_generate,1779301622.234000,1779301627.880000,5.646000
assign_0_enc,1779301627.902000,1779301628.690000,.788000
isaac_0_etiss,1779301628.717000,1779301630.500000,1.783000
seal5_0_splitted,1779301630.521000,1779301947.680000,317.159000
assign_0_seal5,1779301947.704000,1779301948.230000,.526000
etiss_0,1779301948.253000,1779301970.130000,21.877000
compare_0,1779301970.157000,1779301980.660000,10.503000
compare_0_per_instr,1779301980.685000,1779301993.850000,13.165000
assign_0_compare_per_instr,1779301993.874000,1779301994.670000,.796000
filter_0,1779301994.690000,1779301995.550000,.860000
spec_0_filtered,1779301995.577000,1779301996.010000,.433000
isaac_0_generate_filtered,1779301996.039000,1779302001.360000,5.321000
isaac_0_etiss_filtered,1779302001.386000,1779302003.130000,1.744000
fake_hls_0_filtered,1779302003.151000,1779302004.060000,.909000
assign_0_fake_hls_filtered,1779302004.088000,1779302005.230000,1.142000
select_0_filtered,1779302005.254000,1779302029.220000,23.966000
isaac_0_etiss_filtered_selected,1779302029.248000,1779302030.900000,1.652000
fake_hls_0_filtered_selected,1779302030.921000,1779302031.760000,.839000
assign_0_fake_hls_filtered_selected,1779302031.786000,1779302032.840000,1.054000
compare_0_filtered_selected,1779302032.860000,1779302043.730000,10.870000
assign_0_compare_filtered_selected,1779302043.759000,1779302043.780000,.021000
retrace_0_filtered_selected,1779302043.808000,1779302051.620000,7.812000
reanalyze_0_filtered_selected,1779302051.646000,1779302105.200000,53.554000
assign_0_util_filtered_selected,1779302105.226000,1779302105.860000,.634000
etiss_perf_0_filtered_selected,1779302105.888000,1779302635.790000,529.902000
compare_perf_0_filtered_selected,1779302635.814000,1779302653.010000,17.196000
retrace_perf_0_filtered_selected,1779302653.040000,1779302659.590000,6.550000
report_0,1779302659.615000,1779302660.290000,.675000
