label,t0,t1,td
bench_0,1779873755.998000,1779873762.650000,6.652000
trace_0,1779873762.670000,1779873777.330000,14.660000
isaac_0_load,1779873777.350000,1779873790.700000,13.350000
isaac_0_analyze,1779873790.715000,1779873804.920000,14.205000
isaac_0_visualize,1779873804.943000,1779873813.820000,8.877000
isaac_0_pick,1779873813.847000,1779873821.030000,7.183000
isaac_0_cdfg,1779873821.053000,1779873843.280000,22.227000
isaac_0_query,1779873843.305000,1779873882.220000,38.915000
isaac_0_generate,1779873882.247000,1779873894.070000,11.823000
assign_0_enc,1779873894.097000,1779873895.600000,1.503000
isaac_0_etiss,1779873895.624000,1779873899.330000,3.706000
seal5_0_splitted,1779873899.356000,1779874573.340000,673.984000
assign_0_seal5,1779874573.361000,1779874574.890000,1.529000
etiss_0,1779874574.911000,1779874611.980000,37.069000
compare_0,1779874612.003000,1779874632.910000,20.907000
compare_0_per_instr,1779874632.966000,1779874655.890000,22.924000
assign_0_compare_per_instr,1779874655.907000,1779874657.420000,1.513000
filter_0,1779874657.458000,1779874659.060000,1.602000
spec_0_filtered,1779874659.088000,1779874660.030000,.942000
isaac_0_generate_filtered,1779874660.056000,1779874672.170000,12.114000
isaac_0_etiss_filtered,1779874672.192000,1779874675.770000,3.578000
hls_0_filtered,1779874675.786000,1779875347.670000,671.884000
assign_0_hls_filtered,1779875347.698000,1779875350.130000,2.432000
select_0_filtered,1779875350.211000,1779875374.990000,24.779000
isaac_0_etiss_filtered_selected,1779875375.017000,1779875378.710000,3.693000
hls_0_filtered_selected,1779875378.741000,1779876042.570000,663.829000
assign_0_hls_filtered_selected,1779876042.590000,1779876044.780000,2.190000
compare_0_filtered_selected,1779876044.800000,1779876065.560000,20.760000
assign_0_compare_filtered_selected,1779876065.584000,1779876065.610000,.026000
retrace_0_filtered_selected,1779876065.634000,1779876078.230000,12.596000
reanalyze_0_filtered_selected,1779876078.251000,1779876188.440000,110.189000
assign_0_util_filtered_selected,1779876188.463000,1779876189.890000,1.427000
etiss_perf_0_filtered_selected,1779876189.913000,1779876442.740000,252.827000
compare_perf_0_filtered_selected,1779876442.762000,1779876469.740000,26.978000
retrace_perf_0_filtered_selected,1779876469.776000,1779876481.790000,12.014000
report_0,1779876481.818000,1779876483.320000,1.502000
