,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.1391044305473217,all:0,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0,1
1,CV32E40PXISAACV1,1.1923956982534456,all:1,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0,2
2,CV32E40PXISAACV2,1.1923956982534456,all:2,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0,2
3,CV32E40PXISAACV3,1.2456869659595695,all:3,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0,3
4,CV32E40PXISAACV4,1.2456869659595695,all:4,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0,3
5,CV32E40PXISAACV5,1.2989782336656936,all:5,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0,4
10,CV32E40PXISAACV10,1.2989782336656936,all:10,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0,4
6,CV32E40PXISAACV6,1.3522695013718178,all:6,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0,5
7,CV32E40PXISAACV7,1.3522695013718178,all:7,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0,5
11,CV32E40PXISAACV11,1.3522695013718178,all:11,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0,5
12,CV32E40PXISAACV12,1.3522695013718178,all:12,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0,5
9,CV32E40PXISAACV9,1.4055607690779417,all:9,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0,6
8,CV32E40PXISAACV8,1.4055607690779417,all:8,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0,6
13,CV32E40PXISAACV13,1.4055607690779417,all:13,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0,6
14,CV32E40PXISAACV14,1.4055607690779417,all:14,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0,6
