,uarch,uarch_lower,variant,description,details,total_area_estimate
0,CV32E40PXISAACV0,cv32e40pxisaacv0,V0,all:0,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0
1,CV32E40PXISAACV1,cv32e40pxisaacv1,V1,all:1,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
2,CV32E40PXISAACV2,cv32e40pxisaacv2,V2,all:2,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
3,CV32E40PXISAACV3,cv32e40pxisaacv3,V3,all:3,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
4,CV32E40PXISAACV4,cv32e40pxisaacv4,V4,all:4,"SG1(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
5,CV32E40PXISAACV5,cv32e40pxisaacv5,V5,all:5,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0
6,CV32E40PXISAACV6,cv32e40pxisaacv6,V6,all:6,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
7,CV32E40PXISAACV7,cv32e40pxisaacv7,V7,all:7,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
8,CV32E40PXISAACV8,cv32e40pxisaacv8,V8,all:8,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
9,CV32E40PXISAACV9,cv32e40pxisaacv9,V9,all:9,"SG1(II=1, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=3, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
10,CV32E40PXISAACV10,cv32e40pxisaacv10,V10,all:10,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 1}, full_lats={CUSTOM10: 3})",246.0
11,CV32E40PXISAACV11,cv32e40pxisaacv11,V11,all:11,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
12,CV32E40PXISAACV12,cv32e40pxisaacv12,V12,all:12,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=2, lats={CUSTOM10: 2}, full_lats={CUSTOM10: 4})",246.0
13,CV32E40PXISAACV13,cv32e40pxisaacv13,V13,all:13,"SG1(II=2, lats={CUSTOM8: 2}, full_lats={CUSTOM8: 4}), SG2(II=1, lats={CUSTOM10: 3}, full_lats={CUSTOM10: 5})",246.0
