label,t0,t1,td
bench_0,1779876702.801000,1779876710.970000,8.169000
trace_0,1779876710.997000,1779876730.450000,19.453000
isaac_0_load,1779876730.473000,1779876757.530000,27.057000
isaac_0_analyze,1779876757.554000,1779876778.430000,20.876000
isaac_0_visualize,1779876778.453000,1779876786.180000,7.727000
isaac_0_pick,1779876786.206000,1779876793.040000,6.834000
isaac_0_cdfg,1779876793.066000,1779876853.790000,60.724000
isaac_0_query,1779876853.807000,1779876970.650000,116.843000
isaac_0_generate,1779876970.671000,1779876983.510000,12.839000
assign_0_enc,1779876983.534000,1779876984.990000,1.456000
isaac_0_etiss,1779876985.016000,1779876989.890000,4.874000
seal5_0_splitted,1779876989.914000,1779877697.040000,707.126000
assign_0_seal5,1779877697.070000,1779877699.130000,2.060000
etiss_0,1779877699.150000,1779877738.680000,39.530000
compare_0,1779877738.701000,1779877761.090000,22.389000
compare_0_per_instr,1779877761.116000,1779877799.090000,37.974000
assign_0_compare_per_instr,1779877799.110000,1779877801.180000,2.070000
filter_0,1779877801.207000,1779877803.540000,2.333000
spec_0_filtered,1779877803.566000,1779877804.800000,1.234000
isaac_0_generate_filtered,1779877804.830000,1779877817.720000,12.890000
isaac_0_etiss_filtered,1779877817.748000,1779877821.680000,3.932000
hls_0_filtered,1779877821.707000,1779878739.100000,917.393000
assign_0_hls_filtered,1779878739.118000,1779878741.830000,2.712000
select_0_filtered,1779878741.858000,1779878856.830000,114.972000
isaac_0_etiss_filtered_selected,1779878856.850000,1779878860.360000,3.510000
hls_0_filtered_selected,1779878860.389000,1779879537.570000,677.181000
assign_0_hls_filtered_selected,1779879537.595000,1779879540.040000,2.445000
compare_0_filtered_selected,1779879540.063000,1779879561.850000,21.787000
assign_0_compare_filtered_selected,1779879561.874000,1779879561.900000,.026000
retrace_0_filtered_selected,1779879561.929000,1779879578.300000,16.371000
reanalyze_0_filtered_selected,1779879578.319000,1779879725.060000,146.741000
assign_0_util_filtered_selected,1779879725.092000,1779879726.600000,1.508000
etiss_perf_0_filtered_selected,1779879726.624000,1779879982.890000,256.266000
compare_perf_0_filtered_selected,1779879982.923000,1779880010.980000,28.057000
retrace_perf_0_filtered_selected,1779880011.003000,1779880022.680000,11.677000
report_0,1779880022.708000,1779880024.080000,1.372000
