,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM8': 3},{},,3718.562256,3718.562256,0.0,0.0
1,SG_7_SOL_IDX_0,0,1,True,{},{},3.0,,,,
2,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM1': 3},{},,2014.431885,2014.431885,0.0,0.0
3,SG_2_SOL_IDX_0,0,1,True,{},{},3.0,,,,
4,SG_9_SOL_IDX_1,1,1,False,{'CUSTOM14': 3},{},,198.940994,198.940994,0.0,0.0
5,SG_9_SOL_IDX_0,0,1,True,{},{},3.0,,,,
6,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM4': 3},{},,1909.330933,1909.330933,0.0,0.0
7,SG_4_SOL_IDX_0,0,1,True,{},{},3.0,,,,
8,SG_11_SOL_IDX_1,1,1,False,{'CUSTOM18': 3},{},,2008.171875,2008.171875,0.0,0.0
9,SG_11_SOL_IDX_0,0,1,True,{},{},3.0,,,,
10,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM7': 3},{},,1909.330933,1909.330933,0.0,0.0
11,SG_6_SOL_IDX_0,0,1,True,{},{},3.0,,,,
12,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM0': 3},{},,1909.330933,1909.330933,0.0,0.0
13,SG_1_SOL_IDX_0,0,1,True,{},{},3.0,,,,
14,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM13': 3},{},,198.940994,198.940994,0.0,0.0
15,SG_8_SOL_IDX_0,0,1,True,{},{},3.0,,,,
16,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM3': 3},{},,3605.961182,3605.961182,0.0,0.0
17,SG_3_SOL_IDX_0,0,1,True,{},{},3.0,,,,
18,SG_10_SOL_IDX_1,1,1,False,{'CUSTOM17': 3},{},,2000.671875,2000.671875,0.0,0.0
19,SG_10_SOL_IDX_0,0,1,True,{},{},3.0,,,,
20,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM5': 3},{},,1909.330933,1909.330933,0.0,0.0
21,SG_5_SOL_IDX_0,0,1,True,{},{},3.0,,,,
