,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.03989793917277,all:0,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})",1230.0,1
1,CV32E40PXISAACV1,1.059338096740363,all:1,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})",1230.0,2
2,CV32E40PXISAACV2,1.059338096740363,all:2,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=2, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})",1230.0,2
10,CV32E40PXISAACV10,1.059338096740363,all:10,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})",1230.0,2
5,CV32E40PXISAACV5,1.059338096740363,all:5,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})",1230.0,2
50,CV32E40PXISAACV50,1.065818149262894,all:50,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=2, lats={CUSTOM33: 2}, full_lats={CUSTOM33: 4}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})",1230.0,3
25,CV32E40PXISAACV25,1.065818149262894,all:25,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 2}, full_lats={CUSTOM33: 4}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})",1230.0,3
12,CV32E40PXISAACV12,1.078778254307956,all:12,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=2, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})",1230.0,4
6,CV32E40PXISAACV6,1.078778254307956,all:6,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})",1230.0,4
11,CV32E40PXISAACV11,1.078778254307956,all:11,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})",1230.0,4
