instr,bits,footprint,weight,enc_score
CUSTOM0,15.0,0.6,0.0009765625,0.9990234375
CUSTOM1,15.0,0.6,0.0009765625,0.9990234375
CUSTOM2,15.0,0.6,0.0009765625,0.9990234375
CUSTOM3,20.0,0.8,0.03125,0.96875
CUSTOM5,20.0,0.8,0.03125,0.96875
CUSTOM6,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM7,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM8,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM9,15.0,0.6,0.0009765625,0.9990234375
CUSTOM13,15.0,0.6,0.0009765625,0.9990234375
CUSTOM14,15.0,0.6,0.0009765625,0.9990234375
CUSTOM15,15.0,0.6,0.0009765625,0.9990234375
CUSTOM16,15.0,0.6,0.0009765625,0.9990234375
CUSTOM17,15.0,0.6,0.0009765625,0.9990234375
CUSTOM18,15.0,0.6,0.0009765625,0.9990234375
CUSTOM19,15.0,0.6,0.0009765625,0.9990234375
CUSTOM21,20.0,0.8,0.03125,0.96875
CUSTOM22,20.0,0.8,0.03125,0.96875
CUSTOM24,15.0,0.6,0.0009765625,0.9990234375
CUSTOM25,15.0,0.6,0.0009765625,0.9990234375
CUSTOM26,15.0,0.6,0.0009765625,0.9990234375
CUSTOM27,15.0,0.6,0.0009765625,0.9990234375
CUSTOM29,20.0,0.8,0.03125,0.96875
CUSTOM30,15.0,0.6,0.0009765625,0.9990234375
CUSTOM31,15.0,0.6,0.0009765625,0.9990234375
CUSTOM32,15.0,0.6,0.0009765625,0.9990234375
CUSTOM33,20.0,0.8,0.03125,0.96875
CUSTOM34,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM35,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM36,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM37,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM43,15.0,0.6,0.0009765625,0.9990234375
