,num_groups,num_instrs,max_instrs,min_instrs,avg_instrs,min_ii,max_ii,avg_ii,min_lat,max_lat,avg_lat,total_area_estimate,total_area_estimate_with_lifetimes,Variant idx,Variant name,Variant description,Variant details
0,10,10,1,1,1.0,1,1,1.0,3,3,3.0,1230.0,1230.0,0,V0,all:0,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})"
1,10,10,1,1,1.0,1,1,1.0,3,4,3.1,1230.0,1230.0,1,V1,all:1,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})"
2,10,10,1,1,1.0,1,2,1.1,3,4,3.1,1230.0,1230.0,2,V2,all:2,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=2, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})"
3,10,10,1,1,1.0,1,1,1.0,3,5,3.2,1230.0,1230.0,3,V3,all:3,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=1, lats={CUSTOM37: 3}, full_lats={CUSTOM37: 5})"
4,10,10,1,1,1.0,1,3,1.2,3,5,3.2,1230.0,1230.0,4,V4,all:4,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 1}, full_lats={CUSTOM35: 3}), SG10(II=3, lats={CUSTOM37: 3}, full_lats={CUSTOM37: 5})"
5,10,10,1,1,1.0,1,1,1.0,3,4,3.1,1230.0,1230.0,5,V5,all:5,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})"
6,10,10,1,1,1.0,1,1,1.0,3,4,3.2,1230.0,1230.0,6,V6,all:6,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})"
7,10,10,1,1,1.0,1,2,1.1,3,4,3.2,1230.0,1230.0,7,V7,all:7,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=2, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})"
8,10,10,1,1,1.0,1,1,1.0,3,5,3.3,1230.0,1230.0,8,V8,all:8,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 3}, full_lats={CUSTOM37: 5})"
9,10,10,1,1,1.0,1,3,1.2,3,5,3.3,1230.0,1230.0,9,V9,all:9,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=3, lats={CUSTOM37: 3}, full_lats={CUSTOM37: 5})"
10,10,10,1,1,1.0,1,2,1.1,3,4,3.1,1230.0,1230.0,10,V10,all:10,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})"
11,10,10,1,1,1.0,1,2,1.1,3,4,3.2,1230.0,1230.0,11,V11,all:11,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})"
12,10,10,1,1,1.0,1,2,1.2,3,4,3.2,1230.0,1230.0,12,V12,all:12,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=2, lats={CUSTOM37: 2}, full_lats={CUSTOM37: 4})"
13,10,10,1,1,1.0,1,2,1.1,3,5,3.3,1230.0,1230.0,13,V13,all:13,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=1, lats={CUSTOM37: 3}, full_lats={CUSTOM37: 5})"
14,10,10,1,1,1.0,1,3,1.3,3,5,3.3,1230.0,1230.0,14,V14,all:14,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=2, lats={CUSTOM35: 2}, full_lats={CUSTOM35: 4}), SG10(II=3, lats={CUSTOM37: 3}, full_lats={CUSTOM37: 5})"
15,10,10,1,1,1.0,1,1,1.0,3,5,3.2,1230.0,1230.0,15,V15,all:15,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM9: 1}, full_lats={CUSTOM9: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM27: 1}, full_lats={CUSTOM27: 3}), SG6(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG7(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3}), SG8(II=1, lats={CUSTOM33: 1}, full_lats={CUSTOM33: 3}), SG9(II=1, lats={CUSTOM35: 3}, full_lats={CUSTOM35: 5}), SG10(II=1, lats={CUSTOM37: 1}, full_lats={CUSTOM37: 3})"
