instr,instr_lower,idx,num_fused_instrs
CUSTOM0,custom0,0,4.0
CUSTOM1,custom1,1,4.0
CUSTOM2,custom2,2,4.0
CUSTOM3,custom3,3,4.0
CUSTOM4,custom4,4,4.0
CUSTOM5,custom5,5,4.0
CUSTOM6,custom6,6,3.0
CUSTOM7,custom7,7,3.0
CUSTOM8,custom8,8,3.0
CUSTOM9,custom9,9,3.0
CUSTOM10,custom10,10,3.0
CUSTOM11,custom11,11,3.0
CUSTOM12,custom12,12,3.0
CUSTOM13,custom13,13,3.0
CUSTOM14,custom14,14,2.0
CUSTOM15,custom15,15,2.0
CUSTOM16,custom16,16,2.0
CUSTOM17,custom17,17,2.0
CUSTOM18,custom18,18,2.0
CUSTOM19,custom19,19,2.0
CUSTOM20,custom20,20,2.0
CUSTOM21,custom21,21,2.0
CUSTOM22,custom22,22,2.0
CUSTOM23,custom23,23,2.0
CUSTOM24,custom24,24,4.0
CUSTOM25,custom25,25,4.0
CUSTOM26,custom26,26,4.0
CUSTOM27,custom27,27,4.0
CUSTOM28,custom28,28,4.0
CUSTOM29,custom29,29,4.0
CUSTOM30,custom30,30,4.0
CUSTOM31,custom31,31,4.0
CUSTOM32,custom32,32,4.0
CUSTOM33,custom33,33,4.0
CUSTOM34,custom34,34,3.0
CUSTOM35,custom35,35,3.0
CUSTOM36,custom36,36,3.0
CUSTOM37,custom37,37,3.0
CUSTOM38,custom38,38,3.0
CUSTOM39,custom39,39,3.0
CUSTOM40,custom40,40,3.0
CUSTOM41,custom41,41,3.0
CUSTOM42,custom42,42,3.0
CUSTOM43,custom43,43,3.0
CUSTOM44,custom44,44,3.0
CUSTOM45,custom45,45,3.0
