instr,instr_lower,idx
CUSTOM0,custom0,0
CUSTOM1,custom1,1
CUSTOM2,custom2,2
CUSTOM3,custom3,3
CUSTOM5,custom5,4
CUSTOM6,custom6,5
CUSTOM7,custom7,6
CUSTOM8,custom8,7
CUSTOM9,custom9,8
CUSTOM13,custom13,9
CUSTOM14,custom14,10
CUSTOM15,custom15,11
CUSTOM16,custom16,12
CUSTOM17,custom17,13
CUSTOM18,custom18,14
CUSTOM19,custom19,15
CUSTOM21,custom21,16
CUSTOM22,custom22,17
CUSTOM24,custom24,18
CUSTOM25,custom25,19
CUSTOM26,custom26,20
CUSTOM27,custom27,21
CUSTOM29,custom29,22
CUSTOM30,custom30,23
CUSTOM31,custom31,24
CUSTOM32,custom32,25
CUSTOM33,custom33,26
CUSTOM34,custom34,27
CUSTOM35,custom35,28
CUSTOM36,custom36,29
CUSTOM37,custom37,30
CUSTOM43,custom43,31
