,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,nettle-sha256,rv32im_zicsr_zifencei,3776360,1.0,9904,1336,9572,1.0
1,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom0single,3593960,0.9516995201728649,9616,1336,9284,0.9699122440451317
2,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom1single,3593960,0.9516995201728649,9616,1336,9284,0.9699122440451317
3,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom2single,3593960,0.9516995201728649,9616,1336,9284,0.9699122440451317
4,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom3single,3593960,0.9516995201728649,9616,1336,9284,0.9699122440451317
5,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom4single,3776360,1.0,9904,1336,9572,1.0
6,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom5single,3593960,0.9516995201728649,9616,1336,9284,0.9699122440451317
7,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom6single,3654760,0.9677996801152432,9712,1336,9380,0.9799414960300876
8,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom7single,3654760,0.9677996801152432,9712,1336,9380,0.9799414960300876
9,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom8single,3654760,0.9677996801152432,9712,1336,9380,0.9799414960300876
10,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom9single,3776360,1.0,9904,1336,9572,1.0
11,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom10single,3776360,1.0,9904,1336,9572,1.0
12,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom11single,3654760,0.9677996801152432,9712,1336,9380,0.9799414960300876
13,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom12single,3776360,1.0,9904,1336,9572,1.0
14,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom13single,3654760,0.9677996801152432,9712,1336,9380,0.9799414960300876
15,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom14single,3715560,0.9838998400576217,9808,1336,9476,0.989970748015044
16,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom15single,3715560,0.9838998400576217,9808,1336,9476,0.989970748015044
17,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom16single,3715560,0.9838998400576217,9808,1336,9476,0.989970748015044
18,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom17single,3715560,0.9838998400576217,9808,1336,9476,0.989970748015044
19,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom18single,3715560,0.9838998400576217,9808,1336,9476,0.989970748015044
20,nettle-sha256,rv32im_zicsr_zifencei_xisaaccustom19single,3715560,0.9838998400576217,9808,1336,9476,0.989970748015044
