label,t0,t1,td
bench_0,1779903427.943000,1779903432.820000,4.877000
trace_0,1779903432.834000,1779903445.280000,12.446000
isaac_0_load,1779903445.298000,1779903466.270000,20.972000
isaac_0_analyze,1779903466.294000,1779903480.330000,14.036000
isaac_0_visualize,1779903480.341000,1779903485.650000,5.309000
isaac_0_pick,1779903485.676000,1779903490.460000,4.784000
isaac_0_cdfg,1779903490.475000,1779903522.460000,31.985000
isaac_0_query,1779903522.478000,1779904107.540000,585.062000
isaac_0_generate,1779904107.560000,1779904119.130000,11.570000
assign_0_enc,1779904119.157000,1779904120.870000,1.713000
isaac_0_etiss,1779904120.895000,1779904126.200000,5.305000
seal5_0_splitted,1779904126.219000,1779904693.160000,566.941000
assign_0_seal5,1779904693.186000,1779904694.910000,1.724000
etiss_0,1779904694.930000,1779904729.030000,34.100000
compare_0,1779904729.054000,1779904742.820000,13.766000
compare_0_per_instr,1779904742.837000,1779904784.870000,42.033000
assign_0_compare_per_instr,1779904784.882000,1779904786.600000,1.718000
filter_0,1779904786.612000,1779904788.880000,2.268000
spec_0_filtered,1779904788.895000,1779904791.570000,2.675000
isaac_0_generate_filtered,1779904791.594000,1779904802.570000,10.976000
isaac_0_etiss_filtered,1779904802.592000,1779904807.380000,4.788000
hls_0_filtered,1779904807.399000,1779906075.320000,1267.921000
assign_0_hls_filtered,1779906075.338000,1779906077.480000,2.142000
select_0_filtered,1779906077.497000,1779906335.210000,257.713000
isaac_0_etiss_filtered_selected,1779906335.228000,1779906337.990000,2.762000
hls_0_filtered_selected,1779906338.016000,1779906836.670000,498.654000
assign_0_hls_filtered_selected,1779906836.693000,1779906838.460000,1.767000
compare_0_filtered_selected,1779906838.478000,1779906852.420000,13.942000
assign_0_compare_filtered_selected,1779906852.434000,1779906852.470000,.036000
retrace_0_filtered_selected,1779906852.491000,1779906863.510000,11.019000
reanalyze_0_filtered_selected,1779906863.526000,1779906955.540000,92.014000
assign_0_util_filtered_selected,1779906955.558000,1779906956.720000,1.162000
etiss_perf_0_filtered_selected,1779906956.741000,1779907151.200000,194.459000
compare_perf_0_filtered_selected,1779907151.216000,1779907170.220000,19.004000
retrace_perf_0_filtered_selected,1779907170.240000,1779907178.180000,7.940000
report_0,1779907178.200000,1779907179.050000,.850000
