instruction,mask,tags,schedule,latency,locs
CUSTOM0,0000000----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM1,0000001----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM2,0000010----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM3,00---------------001-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM5,10---------------001-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM6,000001100000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM7,000010000000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM8,000010100000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM11,0000110----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM13,0001000----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM14,0001001----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM15,0001010----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM16,0001011----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM17,0001100----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM18,0001101----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM19,0001110----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM21,00---------------100-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM23,10---------------100-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM24,0001111----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM25,0010000----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM26,0010001----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM27,0010010----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM28,11---------------100-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM30,01---------------101-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM31,0010011----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM32,0010100----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM33,0010101----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM34,10---------------101-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM35,11---------------101-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM37,01---------------110-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdRS2', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM38,001011000000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM39,001011100000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM40,001100000000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM41,001100100000-----000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM42,0011010----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
CUSTOM46,0011100----------000-----1111011,"['RdStallFlush-Is-Per-ISAX', 'ReadResults-Are-Per-ISAX']","[{'interface': 'RdInstr', 'stage': 2}, {'interface': 'RdRS1', 'stage': 2}, {'interface': 'RdIValid', 'stage': 2}, {'interface': 'RdStall', 'stage': 2}, {'interface': 'WrRD', 'stage': 2}]",3.0,
,,,,,1261.0
