,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_26_SOL_IDX_1,1,1,False,{'CUSTOM32': 3},{},,797.015015,797.015015,0.0,0.0
1,SG_26_SOL_IDX_0,0,1,True,{},{},3.0,,,,
2,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM7': 3},{},,292.781006,292.781006,0.0,0.0
3,SG_7_SOL_IDX_0,0,1,True,{},{},3.0,,,,
4,SG_33_SOL_IDX_1,1,1,False,{'CUSTOM40': 3},{},,292.781006,292.781006,0.0,0.0
5,SG_33_SOL_IDX_0,0,1,True,{},{},3.0,,,,
6,SG_14_SOL_IDX_1,1,1,False,{'CUSTOM17': 3},{},,292.781006,292.781006,0.0,0.0
7,SG_14_SOL_IDX_0,0,1,True,{},{},3.0,,,,
8,SG_21_SOL_IDX_1,1,1,False,{'CUSTOM26': 3},{},,797.015015,797.015015,0.0,0.0
9,SG_21_SOL_IDX_0,0,1,True,{},{},3.0,,,,
10,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM1': 3},{},,797.015015,797.015015,0.0,0.0
11,SG_2_SOL_IDX_0,0,1,True,{},{},3.0,,,,
12,SG_28_SOL_IDX_1,1,1,False,{'CUSTOM34': 3},{},,2501.145264,2501.145264,0.0,0.0
13,SG_28_SOL_IDX_0,0,1,True,{},{},3.0,,,,
14,SG_9_SOL_IDX_1,1,1,False,{'CUSTOM11': 3},{},,1996.910889,1996.910889,0.0,0.0
15,SG_9_SOL_IDX_0,0,1,True,{},{},3.0,,,,
16,SG_35_SOL_IDX_1,1,1,False,{'CUSTOM42': 3},{},,1989.410889,1989.410889,0.0,0.0
17,SG_35_SOL_IDX_0,0,1,True,{},{},3.0,,,,
18,SG_16_SOL_IDX_1,1,1,False,{'CUSTOM19': 3},{},,292.781006,292.781006,0.0,0.0
19,SG_16_SOL_IDX_0,0,1,True,{},{},3.0,,,,
20,SG_23_SOL_IDX_1,1,1,False,{'CUSTOM28': 3},{},,2493.645264,2493.645264,0.0,0.0
21,SG_23_SOL_IDX_0,0,1,True,{},{},3.0,,,,
22,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM3': 3},{},,2501.145264,2501.145264,0.0,0.0
23,SG_4_SOL_IDX_0,0,1,True,{},{},3.0,,,,
24,SG_30_SOL_IDX_1,1,1,False,{'CUSTOM37': 3},{},,2501.145264,2501.145264,0.0,0.0
25,SG_30_SOL_IDX_0,0,1,True,{},{},3.0,,,,
26,SG_11_SOL_IDX_1,1,1,False,{'CUSTOM14': 3},{},,292.781006,292.781006,0.0,0.0
27,SG_11_SOL_IDX_0,0,1,True,{},{},3.0,,,,
28,SG_18_SOL_IDX_1,1,1,False,{'CUSTOM23': 3},{},,1989.410889,1989.410889,0.0,0.0
29,SG_18_SOL_IDX_0,0,1,True,{},{},3.0,,,,
30,SG_25_SOL_IDX_1,1,1,False,{'CUSTOM31': 3},{},,797.015015,797.015015,0.0,0.0
31,SG_25_SOL_IDX_0,0,1,True,{},{},3.0,,,,
32,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM6': 3},{},,292.781006,292.781006,0.0,0.0
33,SG_6_SOL_IDX_0,0,1,True,{},{},3.0,,,,
34,SG_32_SOL_IDX_1,1,1,False,{'CUSTOM39': 3},{},,292.781006,292.781006,0.0,0.0
35,SG_32_SOL_IDX_0,0,1,True,{},{},3.0,,,,
36,SG_13_SOL_IDX_1,1,1,False,{'CUSTOM16': 3},{},,292.781006,292.781006,0.0,0.0
37,SG_13_SOL_IDX_0,0,1,True,{},{},3.0,,,,
38,SG_20_SOL_IDX_1,1,1,False,{'CUSTOM25': 3},{},,797.015015,797.015015,0.0,0.0
39,SG_20_SOL_IDX_0,0,1,True,{},{},3.0,,,,
40,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM0': 3},{},,797.015015,797.015015,0.0,0.0
41,SG_1_SOL_IDX_0,0,1,True,{},{},3.0,,,,
42,SG_27_SOL_IDX_1,1,1,False,{'CUSTOM33': 3},{},,797.015015,797.015015,0.0,0.0
43,SG_27_SOL_IDX_0,0,1,True,{},{},3.0,,,,
44,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM8': 3},{},,292.781006,292.781006,0.0,0.0
45,SG_8_SOL_IDX_0,0,1,True,{},{},3.0,,,,
46,SG_34_SOL_IDX_1,1,1,False,{'CUSTOM41': 3},{},,292.781006,292.781006,0.0,0.0
47,SG_34_SOL_IDX_0,0,1,True,{},{},3.0,,,,
