,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,picojpeg,rv32imfd,3326562,1.0,26520,3624,24284,1.0
1,picojpeg,rv32imfd_xisaaccustom0single,3249342,0.9767868447965196,26472,3624,24236,0.9980233898863448
2,picojpeg,rv32imfd_xisaaccustom1single,3283554,0.9870713367133996,26440,3624,24204,0.9967056498105747
3,picojpeg,rv32imfd_xisaaccustom2single,3326562,1.0,26520,3624,24284,1.0
4,picojpeg,rv32imfd_xisaaccustom3single,3326562,1.0,26520,3624,24284,1.0
5,picojpeg,rv32imfd_xisaaccustom4single,3287058,0.9881246764677768,26424,3624,24188,0.9960467797726898
6,picojpeg,rv32imfd_xisaaccustom5single,3305058,0.9935356683566998,26472,3624,24236,0.9980233898863448
7,picojpeg,rv32imfd_xisaaccustom6single,3326562,1.0,26520,3624,24284,1.0
8,picojpeg,rv32imfd_xisaaccustom7single,3240546,0.9741426734267992,26360,3624,24124,0.9934112996211496
9,picojpeg,rv32imfd_xisaaccustom8single,3326562,1.0,26520,3624,24284,1.0
10,picojpeg,rv32imfd_xisaaccustom9single,3283554,0.9870713367133996,26360,3624,24124,0.9934112996211496
11,picojpeg,rv32imfd_xisaaccustom10single,3326562,1.0,26520,3624,24284,1.0
12,picojpeg,rv32imfd_xisaaccustom11single,3305058,0.9935356683566998,26472,3624,24236,0.9980233898863448
13,picojpeg,rv32imfd_xisaaccustom12single,3326562,1.0,26520,3624,24284,1.0
