instr,bits,footprint,weight,enc_score
CUSTOM0,15.0,0.6,0.0009765625,0.9990234375
CUSTOM1,15.0,0.6,0.0009765625,0.9990234375
CUSTOM2,15.0,0.6,0.0009765625,0.9990234375
CUSTOM3,15.0,0.6,0.0009765625,0.9990234375
CUSTOM4,15.0,0.6,0.0009765625,0.9990234375
CUSTOM5,15.0,0.6,0.0009765625,0.9990234375
CUSTOM6,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM7,15.0,0.6,0.0009765625,0.9990234375
CUSTOM8,15.0,0.6,0.0009765625,0.9990234375
CUSTOM9,15.0,0.6,0.0009765625,0.9990234375
CUSTOM10,15.0,0.6,0.0009765625,0.9990234375
CUSTOM11,15.0,0.6,0.0009765625,0.9990234375
CUSTOM12,15.0,0.6,0.0009765625,0.9990234375
