label,t0,t1,td
bench_0,1779278259.028000,1779278264.170000,5.142000
trace_0,1779278264.193000,1779278273.940000,9.747000
isaac_0_load,1779278273.962000,1779278285.110000,11.148000
isaac_0_analyze,1779278285.131000,1779278292.690000,7.559000
isaac_0_visualize,1779278292.710000,1779278296.380000,3.670000
isaac_0_pick,1779278296.404000,1779278299.930000,3.526000
isaac_0_cdfg,1779278299.955000,1779278497.830000,197.875000
isaac_0_query,1779278497.854000,1779278543.240000,45.386000
isaac_0_generate,1779278543.268000,1779278549.740000,6.472000
assign_0_enc,1779278549.766000,1779278550.770000,1.004000
isaac_0_etiss,1779278550.792000,1779278553.310000,2.518000
seal5_0_splitted,1779278553.337000,1779278834.780000,281.443000
assign_0_seal5,1779278834.807000,1779278835.730000,.923000
etiss_0,1779278835.751000,1779278858.320000,22.569000
compare_0,1779278858.341000,1779278869.880000,11.539000
compare_0_per_instr,1779278869.903000,1779278890.710000,20.807000
assign_0_compare_per_instr,1779278890.737000,1779278891.720000,.983000
filter_0,1779278891.742000,1779278892.610000,.868000
spec_0_filtered,1779278892.632000,1779278893.250000,.618000
isaac_0_generate_filtered,1779278893.271000,1779278898.990000,5.719000
isaac_0_etiss_filtered,1779278899.016000,1779278900.730000,1.714000
fake_hls_0_filtered,1779278900.755000,1779278905.220000,4.465000
fake_hls_0_filtered,1779279194.460000,1779279198.560000,4.100000
fake_hls_0_filtered,1779279559.522000,1779279563.610000,4.088000
fake_hls_0_filtered,1779279721.641000,1779279725.820000,4.179000
fake_hls_0_filtered,1779279791.551000,1779279795.600000,4.049000
fake_hls_0_filtered,1779279834.279000,1779279838.270000,3.991000
assign_0_fake_hls_filtered,1779279838.298000,1779279839.470000,1.172000
select_0_filtered,1779279839.487000,1779279919.430000,79.943000
isaac_0_etiss_filtered_selected,1779279919.456000,1779279921.200000,1.744000
fake_hls_0_filtered_selected,1779279921.226000,1779279922.360000,1.134000
assign_0_fake_hls_filtered_selected,1779279922.390000,1779279923.530000,1.140000
compare_0_filtered_selected,1779279923.557000,1779279935.200000,11.643000
assign_0_compare_filtered_selected,1779279935.221000,1779279935.250000,.029000
retrace_0_filtered_selected,1779279935.269000,1779279944.300000,9.031000
reanalyze_0_filtered_selected,1779279944.321000,1779280007.330000,63.009000
assign_0_util_filtered_selected,1779280007.352000,1779280008.020000,.668000
etiss_perf_0_filtered_selected,1779280008.041000,1779280779.140000,771.099000
compare_perf_0_filtered_selected,1779280779.166000,1779280838.210000,59.044000
retrace_perf_0_filtered_selected,1779280838.232000,1779280845.420000,7.188000
report_0,1779280845.443000,1779280846.080000,.637000
