,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.2265564985796962,all:0,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 1}, full_lats={CUSTOM24: 3}), SG5(II=1, lats={CUSTOM26: 1}, full_lats={CUSTOM26: 3}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,1
3,CV32E40PXISAACV3,1.2335768901663262,all:3,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 1}, full_lats={CUSTOM24: 3}), SG5(II=1, lats={CUSTOM26: 2}, full_lats={CUSTOM26: 4}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,2
15,CV32E40PXISAACV15,1.2335768901663262,all:15,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 2}, full_lats={CUSTOM24: 4}), SG5(II=1, lats={CUSTOM26: 1}, full_lats={CUSTOM26: 3}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,2
30,CV32E40PXISAACV30,1.2335768901663262,all:30,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=2, lats={CUSTOM24: 2}, full_lats={CUSTOM24: 4}), SG5(II=1, lats={CUSTOM26: 1}, full_lats={CUSTOM26: 3}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,2
6,CV32E40PXISAACV6,1.2335768901663262,all:6,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 1}, full_lats={CUSTOM24: 3}), SG5(II=2, lats={CUSTOM26: 2}, full_lats={CUSTOM26: 4}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,2
2,CV32E40PXISAACV2,1.2359294265211094,all:2,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 1}, full_lats={CUSTOM24: 3}), SG5(II=1, lats={CUSTOM26: 1}, full_lats={CUSTOM26: 3}), SG6(II=2, lats={CUSTOM28: 2}, full_lats={CUSTOM28: 4})",738.0,3
1,CV32E40PXISAACV1,1.2359294265211094,all:1,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 1}, full_lats={CUSTOM24: 3}), SG5(II=1, lats={CUSTOM26: 1}, full_lats={CUSTOM26: 3}), SG6(II=1, lats={CUSTOM28: 2}, full_lats={CUSTOM28: 4})",738.0,3
18,CV32E40PXISAACV18,1.2405972817529562,all:18,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 2}, full_lats={CUSTOM24: 4}), SG5(II=1, lats={CUSTOM26: 2}, full_lats={CUSTOM26: 4}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,4
36,CV32E40PXISAACV36,1.2405972817529562,all:36,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=2, lats={CUSTOM24: 2}, full_lats={CUSTOM24: 4}), SG5(II=2, lats={CUSTOM26: 2}, full_lats={CUSTOM26: 4}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,4
21,CV32E40PXISAACV21,1.2405972817529562,all:21,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM8: 1}, full_lats={CUSTOM8: 3}), SG3(II=1, lats={CUSTOM17: 1}, full_lats={CUSTOM17: 3}), SG4(II=1, lats={CUSTOM24: 2}, full_lats={CUSTOM24: 4}), SG5(II=2, lats={CUSTOM26: 2}, full_lats={CUSTOM26: 4}), SG6(II=1, lats={CUSTOM28: 1}, full_lats={CUSTOM28: 3})",738.0,4
