,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_1_SOL_IDX_0,0,1,False,{'CUSTOM0': 3},{},2,1.0,1.0,0.0,0
1,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM0': 4},{},2,1.0,1.0,0.0,0
2,SG_1_SOL_IDX_2,2,2,False,{'CUSTOM0': 4},{},2,1.0,1.0,0.0,0
3,SG_2_SOL_IDX_0,0,1,False,{'CUSTOM2': 3},{},2,1.0,1.0,0.0,0
4,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM2': 4},{},2,1.0,1.0,0.0,0
5,SG_2_SOL_IDX_2,2,2,False,{'CUSTOM2': 4},{},2,1.0,1.0,0.0,0
6,SG_3_SOL_IDX_0,0,1,False,{'CUSTOM4': 3},{},2,1.0,1.0,0.0,0
7,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM4': 4},{},2,1.0,1.0,0.0,0
8,SG_3_SOL_IDX_2,2,2,False,{'CUSTOM4': 4},{},2,1.0,1.0,0.0,0
9,SG_3_SOL_IDX_3,3,1,False,{'CUSTOM4': 5},{},2,1.0,1.0,0.0,0
10,SG_3_SOL_IDX_4,4,3,False,{'CUSTOM4': 5},{},2,1.0,1.0,0.0,0
11,SG_4_SOL_IDX_0,0,1,False,{'CUSTOM8': 3},{},2,1.0,1.0,0.0,0
12,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM8': 4},{},2,1.0,1.0,0.0,0
13,SG_4_SOL_IDX_2,2,2,False,{'CUSTOM8': 4},{},2,1.0,1.0,0.0,0
14,SG_4_SOL_IDX_3,3,1,False,{'CUSTOM8': 5},{},2,1.0,1.0,0.0,0
15,SG_4_SOL_IDX_4,4,3,False,{'CUSTOM8': 5},{},2,1.0,1.0,0.0,0
16,SG_5_SOL_IDX_0,0,1,False,{'CUSTOM11': 3},{},2,1.0,1.0,0.0,0
17,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM11': 4},{},2,1.0,1.0,0.0,0
18,SG_5_SOL_IDX_2,2,2,False,{'CUSTOM11': 4},{},2,1.0,1.0,0.0,0
19,SG_6_SOL_IDX_0,0,1,False,{'CUSTOM12': 3},{},2,1.0,1.0,0.0,0
20,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM12': 4},{},2,1.0,1.0,0.0,0
21,SG_6_SOL_IDX_2,2,2,False,{'CUSTOM12': 4},{},2,1.0,1.0,0.0,0
22,SG_7_SOL_IDX_0,0,1,False,{'CUSTOM13': 3},{},2,1.0,1.0,0.0,0
23,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM13': 4},{},2,1.0,1.0,0.0,0
24,SG_7_SOL_IDX_2,2,2,False,{'CUSTOM13': 4},{},2,1.0,1.0,0.0,0
25,SG_8_SOL_IDX_0,0,1,False,{'CUSTOM17': 3},{},2,1.0,1.0,0.0,0
26,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM17': 4},{},2,1.0,1.0,0.0,0
27,SG_8_SOL_IDX_2,2,2,False,{'CUSTOM17': 4},{},2,1.0,1.0,0.0,0
28,SG_9_SOL_IDX_0,0,1,False,{'CUSTOM19': 3},{},2,1.0,1.0,0.0,0
29,SG_9_SOL_IDX_1,1,1,False,{'CUSTOM19': 4},{},2,1.0,1.0,0.0,0
30,SG_9_SOL_IDX_2,2,2,False,{'CUSTOM19': 4},{},2,1.0,1.0,0.0,0
31,SG_10_SOL_IDX_0,0,1,False,{'CUSTOM21': 3},{},2,1.0,1.0,0.0,0
32,SG_10_SOL_IDX_1,1,1,False,{'CUSTOM21': 4},{},2,1.0,1.0,0.0,0
33,SG_10_SOL_IDX_2,2,2,False,{'CUSTOM21': 4},{},2,1.0,1.0,0.0,0
34,SG_10_SOL_IDX_3,3,1,False,{'CUSTOM21': 5},{},2,1.0,1.0,0.0,0
35,SG_10_SOL_IDX_4,4,3,False,{'CUSTOM21': 5},{},2,1.0,1.0,0.0,0
36,SG_11_SOL_IDX_0,0,1,False,{'CUSTOM24': 3},{},2,1.0,1.0,0.0,0
37,SG_11_SOL_IDX_1,1,1,False,{'CUSTOM24': 4},{},2,1.0,1.0,0.0,0
38,SG_11_SOL_IDX_2,2,2,False,{'CUSTOM24': 4},{},2,1.0,1.0,0.0,0
39,SG_12_SOL_IDX_0,0,1,False,{'CUSTOM26': 3},{},2,1.0,1.0,0.0,0
40,SG_12_SOL_IDX_1,1,1,False,{'CUSTOM26': 4},{},2,1.0,1.0,0.0,0
41,SG_12_SOL_IDX_2,2,2,False,{'CUSTOM26': 4},{},2,1.0,1.0,0.0,0
42,SG_12_SOL_IDX_3,3,1,False,{'CUSTOM26': 5},{},2,1.0,1.0,0.0,0
43,SG_12_SOL_IDX_4,4,3,False,{'CUSTOM26': 5},{},2,1.0,1.0,0.0,0
44,SG_13_SOL_IDX_0,0,1,False,{'CUSTOM28': 3},{},2,1.0,1.0,0.0,0
45,SG_13_SOL_IDX_1,1,1,False,{'CUSTOM28': 4},{},2,1.0,1.0,0.0,0
46,SG_13_SOL_IDX_2,2,2,False,{'CUSTOM28': 4},{},2,1.0,1.0,0.0,0
