,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_1_SOL_IDX_0,0,1,False,{'CUSTOM2': 3},{},2,1.0,1.0,0.0,0
1,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM2': 4},{},2,1.0,1.0,0.0,0
2,SG_1_SOL_IDX_2,2,2,False,{'CUSTOM2': 4},{},2,1.0,1.0,0.0,0
3,SG_2_SOL_IDX_0,0,1,False,{'CUSTOM8': 3},{},2,1.0,1.0,0.0,0
4,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM8': 4},{},2,1.0,1.0,0.0,0
5,SG_2_SOL_IDX_2,2,2,False,{'CUSTOM8': 4},{},2,1.0,1.0,0.0,0
6,SG_2_SOL_IDX_3,3,1,False,{'CUSTOM8': 5},{},2,1.0,1.0,0.0,0
7,SG_2_SOL_IDX_4,4,3,False,{'CUSTOM8': 5},{},2,1.0,1.0,0.0,0
8,SG_3_SOL_IDX_0,0,1,False,{'CUSTOM17': 3},{},2,1.0,1.0,0.0,0
9,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM17': 4},{},2,1.0,1.0,0.0,0
10,SG_3_SOL_IDX_2,2,2,False,{'CUSTOM17': 4},{},2,1.0,1.0,0.0,0
11,SG_4_SOL_IDX_0,0,1,False,{'CUSTOM24': 3},{},2,1.0,1.0,0.0,0
12,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM24': 4},{},2,1.0,1.0,0.0,0
13,SG_4_SOL_IDX_2,2,2,False,{'CUSTOM24': 4},{},2,1.0,1.0,0.0,0
14,SG_5_SOL_IDX_0,0,1,False,{'CUSTOM26': 3},{},2,1.0,1.0,0.0,0
15,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM26': 4},{},2,1.0,1.0,0.0,0
16,SG_5_SOL_IDX_2,2,2,False,{'CUSTOM26': 4},{},2,1.0,1.0,0.0,0
17,SG_5_SOL_IDX_3,3,1,False,{'CUSTOM26': 5},{},2,1.0,1.0,0.0,0
18,SG_5_SOL_IDX_4,4,3,False,{'CUSTOM26': 5},{},2,1.0,1.0,0.0,0
19,SG_6_SOL_IDX_0,0,1,False,{'CUSTOM28': 3},{},2,1.0,1.0,0.0,0
20,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM28': 4},{},2,1.0,1.0,0.0,0
21,SG_6_SOL_IDX_2,2,2,False,{'CUSTOM28': 4},{},2,1.0,1.0,0.0,0
