,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM13': 3},{},,1909.330933,1909.330933,0.0,0.0
1,SG_7_SOL_IDX_0,0,1,True,{},{},3.0,,,,
2,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM2': 3},{},,3605.961182,3605.961182,0.0,0.0
3,SG_2_SOL_IDX_0,0,1,True,{},{},3.0,,,,
4,SG_9_SOL_IDX_1,1,1,False,{'CUSTOM19': 3},{},,3613.461182,3613.461182,0.0,0.0
5,SG_9_SOL_IDX_0,0,1,True,{},{},3.0,,,,
6,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM8': 3},{},,5323.851074,5323.851074,0.0,0.0
7,SG_4_SOL_IDX_0,0,1,True,{},{},3.0,,,,
8,SG_11_SOL_IDX_1,1,1,False,{'CUSTOM24': 3},{},,3619.721191,3619.721191,0.0,0.0
9,SG_11_SOL_IDX_0,0,1,True,{},{},3.0,,,,
10,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM12': 3},{},,3619.721191,3619.721191,0.0,0.0
11,SG_6_SOL_IDX_0,0,1,True,{},{},3.0,,,,
12,SG_13_SOL_IDX_1,1,1,False,{'CUSTOM28': 3},{},,3613.461182,3613.461182,0.0,0.0
13,SG_13_SOL_IDX_0,0,1,True,{},{},3.0,,,,
14,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM0': 3},{},,1909.330933,1909.330933,0.0,0.0
15,SG_1_SOL_IDX_0,0,1,True,{},{},3.0,,,,
16,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM17': 4},{'mul': 1},,28065.669922,28065.669922,0.0,0.0
17,SG_8_SOL_IDX_0,0,4,True,{},{},4.0,,,,
18,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM4': 3},{},,3619.721191,3619.721191,0.0,0.0
19,SG_3_SOL_IDX_0,0,1,True,{},{},3.0,,,,
20,SG_10_SOL_IDX_1,1,1,False,{'CUSTOM21': 4},{'mul': 1},,28071.929688,28752.583984,1.0,0.0
21,SG_10_SOL_IDX_0,0,4,True,{},{},4.0,,,,
22,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM11': 4},{'mul': 1},,26361.541016,26361.541016,0.0,0.0
23,SG_5_SOL_IDX_0,0,4,True,{},{},4.0,,,,
24,SG_12_SOL_IDX_1,1,1,False,{'CUSTOM26': 4},{'mul': 1},,29776.060547,30456.712891,1.0,0.0
25,SG_12_SOL_IDX_0,0,4,True,{},{},4.0,,,,
