,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.2023485342863278,all:0,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,1
3,CV32E40PXISAACV3,1.2065096687887338,all:3,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,2
6,CV32E40PXISAACV6,1.2065096687887338,all:6,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=2, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,2
1,CV32E40PXISAACV1,1.2127931490012025,all:1,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG6(II=1, lats={CUSTOM31: 2}, full_lats={CUSTOM31: 4})",738.0,3
90,CV32E40PXISAACV90,1.2127931490012025,all:90,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,3
2,CV32E40PXISAACV2,1.2127931490012025,all:2,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG6(II=2, lats={CUSTOM31: 2}, full_lats={CUSTOM31: 4})",738.0,3
45,CV32E40PXISAACV45,1.2127931490012025,all:45,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 1}, full_lats={CUSTOM29: 3}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,3
51,CV32E40PXISAACV51,1.2169542835036085,all:51,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=2, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,4
8,CV32E40PXISAACV8,1.2169542835036085,all:8,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=2, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=2, lats={CUSTOM31: 2}, full_lats={CUSTOM31: 4})",738.0,4
4,CV32E40PXISAACV4,1.2169542835036085,all:4,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=1, lats={CUSTOM31: 2}, full_lats={CUSTOM31: 4})",738.0,4
5,CV32E40PXISAACV5,1.2169542835036085,all:5,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=2, lats={CUSTOM31: 2}, full_lats={CUSTOM31: 4})",738.0,4
7,CV32E40PXISAACV7,1.2169542835036085,all:7,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=2, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=1, lats={CUSTOM31: 2}, full_lats={CUSTOM31: 4})",738.0,4
48,CV32E40PXISAACV48,1.2169542835036085,all:48,"SG1(II=1, lats={CUSTOM2: 1}, full_lats={CUSTOM2: 3}), SG2(II=1, lats={CUSTOM7: 1}, full_lats={CUSTOM7: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4}), SG4(II=1, lats={CUSTOM21: 1}, full_lats={CUSTOM21: 3}), SG5(II=1, lats={CUSTOM29: 2}, full_lats={CUSTOM29: 4}), SG6(II=1, lats={CUSTOM31: 1}, full_lats={CUSTOM31: 3})",738.0,4
