instr,instr_lower,idx,num_fused_instrs
CUSTOM0,custom0,0,4.0
CUSTOM1,custom1,1,4.0
CUSTOM2,custom2,2,4.0
CUSTOM3,custom3,3,2.0
CUSTOM4,custom4,4,2.0
CUSTOM5,custom5,5,2.0
CUSTOM6,custom6,6,2.0
CUSTOM7,custom7,7,2.0
CUSTOM8,custom8,8,2.0
CUSTOM9,custom9,9,2.0
CUSTOM10,custom10,10,2.0
CUSTOM11,custom11,11,2.0
CUSTOM12,custom12,12,3.0
CUSTOM13,custom13,13,3.0
CUSTOM14,custom14,14,3.0
CUSTOM15,custom15,15,3.0
CUSTOM16,custom16,16,3.0
CUSTOM17,custom17,17,3.0
CUSTOM18,custom18,18,3.0
CUSTOM19,custom19,19,3.0
CUSTOM20,custom20,20,3.0
CUSTOM21,custom21,21,3.0
CUSTOM22,custom22,22,3.0
CUSTOM23,custom23,23,3.0
CUSTOM24,custom24,24,2.0
CUSTOM25,custom25,25,2.0
CUSTOM26,custom26,26,2.0
CUSTOM27,custom27,27,2.0
CUSTOM28,custom28,28,2.0
CUSTOM29,custom29,29,2.0
CUSTOM30,custom30,30,2.0
CUSTOM31,custom31,31,2.0
CUSTOM32,custom32,32,2.0
CUSTOM33,custom33,33,2.0
CUSTOM34,custom34,34,2.0
CUSTOM35,custom35,35,2.0
CUSTOM36,custom36,36,2.0
CUSTOM37,custom37,37,2.0
