,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,qrduino,rv32im_zicsr_zifencei,2828818,1.0,16244,9460,14632,1.0
1,qrduino,rv32im_zicsr_zifencei_xisaaccustom0single,2699623,0.954328981221132,16116,9460,14504,0.9912520503007108
2,qrduino,rv32im_zicsr_zifencei_xisaaccustom1single,2828818,1.0,16244,9460,14632,1.0
3,qrduino,rv32im_zicsr_zifencei_xisaaccustom2single,2699623,0.954328981221132,16116,9460,14504,0.9912520503007108
4,qrduino,rv32im_zicsr_zifencei_xisaaccustom3single,2738673,0.9681333334276012,16196,9460,14584,0.9967195188627666
5,qrduino,rv32im_zicsr_zifencei_xisaaccustom4single,2782738,0.9837105108918284,16244,9460,14632,1.0
6,qrduino,rv32im_zicsr_zifencei_xisaaccustom5single,2828818,1.0,16244,9460,14632,1.0
7,qrduino,rv32im_zicsr_zifencei_xisaaccustom6single,2738673,0.9681333334276012,16196,9460,14584,0.9967195188627666
8,qrduino,rv32im_zicsr_zifencei_xisaaccustom7single,2828818,1.0,16244,9460,14632,1.0
9,qrduino,rv32im_zicsr_zifencei_xisaaccustom8single,2782738,0.9837105108918284,16244,9460,14632,1.0
10,qrduino,rv32im_zicsr_zifencei_xisaaccustom9single,2742688,0.9695526541474212,16164,9460,14552,0.9945325314379442
11,qrduino,rv32im_zicsr_zifencei_xisaaccustom10single,2742688,0.9695526541474212,16164,9460,14552,0.9945325314379442
12,qrduino,rv32im_zicsr_zifencei_xisaaccustom11single,2828818,1.0,16244,9460,14632,1.0
13,qrduino,rv32im_zicsr_zifencei_xisaaccustom12single,2742688,0.9695526541474212,16164,9460,14552,0.9945325314379442
14,qrduino,rv32im_zicsr_zifencei_xisaaccustom13single,2828818,1.0,16244,9460,14632,1.0
15,qrduino,rv32im_zicsr_zifencei_xisaaccustom14single,2742688,0.9695526541474212,16164,9460,14552,0.9945325314379442
16,qrduino,rv32im_zicsr_zifencei_xisaaccustom15single,2766078,0.9778211252897854,16260,9460,14648,1.0010934937124112
17,qrduino,rv32im_zicsr_zifencei_xisaaccustom16single,2828818,1.0,16244,9460,14632,1.0
18,qrduino,rv32im_zicsr_zifencei_xisaaccustom17single,2828818,1.0,16244,9460,14632,1.0
19,qrduino,rv32im_zicsr_zifencei_xisaaccustom18single,2736658,0.9674210217836566,16228,9460,14616,0.9989065062875888
20,qrduino,rv32im_zicsr_zifencei_xisaaccustom19single,2828818,1.0,16244,9460,14632,1.0
21,qrduino,rv32im_zicsr_zifencei_xisaaccustom20single,2828818,1.0,16244,9460,14632,1.0
22,qrduino,rv32im_zicsr_zifencei_xisaaccustom21single,2828818,1.0,16244,9460,14632,1.0
23,qrduino,rv32im_zicsr_zifencei_xisaaccustom22single,2736658,0.9674210217836566,16228,9460,14616,0.9989065062875888
24,qrduino,rv32im_zicsr_zifencei_xisaaccustom23single,2775823,0.9812660270119888,16020,9460,14408,0.9846910880262438
25,qrduino,rv32im_zicsr_zifencei_xisaaccustom24single,2760753,0.9759387136252669,16196,9460,14584,0.9967195188627666
26,qrduino,rv32im_zicsr_zifencei_xisaaccustom25single,2828818,1.0,16244,9460,14632,1.0
27,qrduino,rv32im_zicsr_zifencei_xisaaccustom26single,2775793,0.9812554218758506,16020,9460,14408,0.9846910880262438
28,qrduino,rv32im_zicsr_zifencei_xisaaccustom27single,2828818,1.0,16244,9460,14632,1.0
29,qrduino,rv32im_zicsr_zifencei_xisaaccustom28single,2760753,0.9759387136252669,16196,9460,14584,0.9967195188627666
30,qrduino,rv32im_zicsr_zifencei_xisaaccustom29single,2803818,0.9911623865515562,16244,9460,14632,1.0
31,qrduino,rv32im_zicsr_zifencei_xisaaccustom30single,2803818,0.9911623865515562,16244,9460,14632,1.0
32,qrduino,rv32im_zicsr_zifencei_xisaaccustom31single,2828818,1.0,16244,9460,14632,1.0
33,qrduino,rv32im_zicsr_zifencei_xisaaccustom32single,2803818,0.9911623865515562,16244,9460,14632,1.0
34,qrduino,rv32im_zicsr_zifencei_xisaaccustom33single,2828818,1.0,16244,9460,14632,1.0
35,qrduino,rv32im_zicsr_zifencei_xisaaccustom34single,2803818,0.9911623865515562,16244,9460,14632,1.0
36,qrduino,rv32im_zicsr_zifencei_xisaaccustom35single,2729943,0.9650472388114046,16052,9460,14440,0.9868780754510662
37,qrduino,rv32im_zicsr_zifencei_xisaaccustom36single,2828818,1.0,16244,9460,14632,1.0
38,qrduino,rv32im_zicsr_zifencei_xisaaccustom37single,2712633,0.958928075259702,15940,9460,14328,0.979223619464188
