label,t0,t1,td
bench_0,1779880551.284000,1779880560.030000,8.746000
trace_0,1779880560.056000,1779880578.360000,18.304000
isaac_0_load,1779880578.378000,1779880602.060000,23.682000
isaac_0_analyze,1779880602.082000,1779880623.790000,21.708000
isaac_0_visualize,1779880623.809000,1779880631.800000,7.991000
isaac_0_pick,1779880631.829000,1779880639.720000,7.891000
isaac_0_cdfg,1779880639.746000,1779880701.940000,62.194000
isaac_0_query,1779880701.967000,1779880780.630000,78.663000
isaac_0_generate,1779880780.662000,1779880796.730000,16.068000
assign_0_enc,1779880796.754000,1779880798.980000,2.226000
isaac_0_etiss,1779880799.002000,1779880805.420000,6.418000
seal5_0_splitted,1779880805.450000,1779881511.510000,706.060000
assign_0_seal5,1779881511.537000,1779881513.990000,2.453000
etiss_0,1779881514.017000,1779881554.690000,40.673000
compare_0,1779881554.709000,1779881575.240000,20.531000
compare_0_per_instr,1779881575.270000,1779881625.780000,50.510000
assign_0_compare_per_instr,1779881625.815000,1779881627.980000,2.165000
filter_0,1779881628.002000,1779881630.690000,2.688000
spec_0_filtered,1779881630.716000,1779881632.720000,2.004000
isaac_0_generate_filtered,1779881632.744000,1779881646.440000,13.696000
isaac_0_etiss_filtered,1779881646.466000,1779881651.170000,4.704000
hls_0_filtered,1779881651.192000,1779882194.670000,543.478000
assign_0_hls_filtered,1779882194.691000,1779882196.570000,1.879000
select_0_filtered,1779882196.590000,1779882357.710000,161.120000
isaac_0_etiss_filtered_selected,1779882357.729000,1779882360.240000,2.511000
hls_0_filtered_selected,1779882360.251000,1779882818.820000,458.569000
assign_0_hls_filtered_selected,1779882818.836000,1779882820.390000,1.554000
compare_0_filtered_selected,1779882820.406000,1779882834.270000,13.864000
assign_0_compare_filtered_selected,1779882834.287000,1779882834.300000,.013000
retrace_0_filtered_selected,1779882834.319000,1779882845.200000,10.881000
reanalyze_0_filtered_selected,1779882845.223000,1779882948.680000,103.457000
assign_0_util_filtered_selected,1779882948.699000,1779882949.690000,.991000
etiss_perf_0_filtered_selected,1779883797.507000,1779883959.190000,161.683000
compare_perf_0_filtered_selected,1779883959.202000,1779883975.640000,16.438000
retrace_perf_0_filtered_selected,1779883975.659000,1779883981.490000,5.831000
report_0,1779883981.503000,1779883982.310000,.807000
