,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM9': 3},{},,2113.272949,2113.272949,0.0,0.0
1,SG_7_SOL_IDX_0,0,1,True,{},{},3.0,,,,
2,SG_14_SOL_IDX_1,1,1,False,{'CUSTOM23': 3},{},,2008.171875,2008.171875,0.0,0.0
3,SG_14_SOL_IDX_0,0,1,True,{},{},3.0,,,,
4,SG_21_SOL_IDX_1,1,1,False,{'CUSTOM34': 3},{},,2003.170898,2003.170898,0.0,0.0
5,SG_21_SOL_IDX_0,0,1,True,{},{},3.0,,,,
6,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM2': 3},{},,2617.507324,2617.507324,0.0,0.0
7,SG_2_SOL_IDX_0,0,1,True,{},{},3.0,,,,
8,SG_9_SOL_IDX_1,1,1,False,{'CUSTOM12': 3},{},,2113.272949,2113.272949,0.0,0.0
9,SG_9_SOL_IDX_0,0,1,True,{},{},3.0,,,,
10,SG_16_SOL_IDX_1,1,1,False,{'CUSTOM26': 3},{},,2008.171875,2008.171875,0.0,0.0
11,SG_16_SOL_IDX_0,0,1,True,{},{},3.0,,,,
12,SG_23_SOL_IDX_1,1,1,False,{'CUSTOM37': 3},{},,3613.461182,3613.461182,0.0,0.0
13,SG_23_SOL_IDX_0,0,1,True,{},{},3.0,,,,
14,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM4': 3},{},,2000.671875,2000.671875,0.0,0.0
15,SG_4_SOL_IDX_0,0,1,True,{},{},3.0,,,,
16,SG_11_SOL_IDX_1,1,1,False,{'CUSTOM15': 3},{},,3713.561279,3713.561279,0.0,0.0
17,SG_11_SOL_IDX_0,0,1,True,{},{},3.0,,,,
18,SG_18_SOL_IDX_1,1,1,False,{'CUSTOM29': 3},{},,2003.170898,2003.170898,0.0,0.0
19,SG_18_SOL_IDX_0,0,1,True,{},{},3.0,,,,
20,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM8': 3},{},,2000.671875,2000.671875,0.0,0.0
21,SG_6_SOL_IDX_0,0,1,True,{},{},3.0,,,,
22,SG_13_SOL_IDX_1,1,1,False,{'CUSTOM22': 3},{},,2504.90625,2504.90625,0.0,0.0
23,SG_13_SOL_IDX_0,0,1,True,{},{},3.0,,,,
24,SG_20_SOL_IDX_1,1,1,False,{'CUSTOM32': 3},{},,2003.170898,2003.170898,0.0,0.0
25,SG_20_SOL_IDX_0,0,1,True,{},{},3.0,,,,
26,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM0': 3},{},,2617.507324,2617.507324,0.0,0.0
27,SG_1_SOL_IDX_0,0,1,True,{},{},3.0,,,,
28,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM10': 3},{},,2512.40625,2512.40625,0.0,0.0
29,SG_8_SOL_IDX_0,0,1,True,{},{},3.0,,,,
30,SG_15_SOL_IDX_1,1,1,False,{'CUSTOM24': 3},{},,2008.171875,2008.171875,0.0,0.0
31,SG_15_SOL_IDX_0,0,1,True,{},{},3.0,,,,
32,SG_22_SOL_IDX_1,1,1,False,{'CUSTOM35': 3},{},,1909.330933,1909.330933,0.0,0.0
33,SG_22_SOL_IDX_0,0,1,True,{},{},3.0,,,,
34,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM3': 3},{},,808.276001,808.276001,0.0,0.0
35,SG_3_SOL_IDX_0,0,1,True,{},{},3.0,,,,
36,SG_10_SOL_IDX_1,1,1,False,{'CUSTOM14': 3},{},,2512.40625,2512.40625,0.0,0.0
37,SG_10_SOL_IDX_0,0,1,True,{},{},3.0,,,,
38,SG_17_SOL_IDX_1,1,1,False,{'CUSTOM28': 3},{},,2008.171875,2008.171875,0.0,0.0
39,SG_17_SOL_IDX_0,0,1,True,{},{},3.0,,,,
40,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM6': 3},{},,808.276001,808.276001,0.0,0.0
41,SG_5_SOL_IDX_0,0,1,True,{},{},3.0,,,,
42,SG_12_SOL_IDX_1,1,1,False,{'CUSTOM18': 3},{},,2504.90625,2504.90625,0.0,0.0
43,SG_12_SOL_IDX_0,0,1,True,{},{},3.0,,,,
44,SG_19_SOL_IDX_1,1,1,False,{'CUSTOM30': 3},{},,2003.170898,2003.170898,0.0,0.0
45,SG_19_SOL_IDX_0,0,1,True,{},{},3.0,,,,
