instr,bits,footprint,weight,enc_score
CUSTOM0,15.0,0.6,0.0009765625,0.9990234375
CUSTOM2,20.0,0.8,0.03125,0.96875
CUSTOM3,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM4,15.0,0.6,0.0009765625,0.9990234375
CUSTOM6,15.0,0.6,0.0009765625,0.9990234375
CUSTOM8,20.0,0.8,0.03125,0.96875
CUSTOM9,15.0,0.6,0.0009765625,0.9990234375
CUSTOM10,15.0,0.6,0.0009765625,0.9990234375
CUSTOM12,20.0,0.8,0.03125,0.96875
CUSTOM14,20.0,0.8,0.03125,0.96875
CUSTOM15,15.0,0.6,0.0009765625,0.9990234375
CUSTOM18,15.0,0.6,0.0009765625,0.9990234375
CUSTOM22,20.0,0.8,0.03125,0.96875
CUSTOM23,15.0,0.6,0.0009765625,0.9990234375
CUSTOM24,15.0,0.6,0.0009765625,0.9990234375
CUSTOM26,20.0,0.8,0.03125,0.96875
CUSTOM28,20.0,0.8,0.03125,0.96875
CUSTOM29,15.0,0.6,0.0009765625,0.9990234375
CUSTOM30,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM32,20.0,0.8,0.03125,0.96875
CUSTOM34,15.0,0.6,0.0009765625,0.9990234375
CUSTOM35,15.0,0.6,0.0009765625,0.9990234375
CUSTOM37,20.0,0.8,0.03125,0.96875
