label,t0,t1,td
bench_0,1779281148.342000,1779281152.960000,4.618000
trace_0,1779281152.987000,1779281161.320000,8.333000
isaac_0_load,1779281161.343000,1779281170.280000,8.937000
isaac_0_analyze,1779281170.306000,1779281176.520000,6.214000
isaac_0_visualize,1779281176.541000,1779281179.630000,3.089000
isaac_0_pick,1779281179.655000,1779281182.570000,2.915000
isaac_0_cdfg,1779281182.594000,1779281366.800000,184.206000
isaac_0_query,1779281366.819000,1779281388.410000,21.591000
isaac_0_generate,1779281388.431000,1779281395.000000,6.569000
assign_0_enc,1779281395.024000,1779281395.970000,.946000
isaac_0_etiss,1779281395.997000,1779281398.360000,2.363000
seal5_0_splitted,1779281398.384000,1779281709.700000,311.316000
assign_0_seal5,1779281709.725000,1779281710.690000,.965000
etiss_0,1779281710.710000,1779281732.580000,21.870000
compare_0,1779281732.603000,1779281743.530000,10.927000
compare_0_per_instr,1779281743.558000,1779281761.560000,18.002000
assign_0_compare_per_instr,1779281761.585000,1779281762.510000,.925000
filter_0,1779281762.536000,1779281763.410000,.874000
spec_0_filtered,1779281763.436000,1779281763.820000,.384000
isaac_0_generate_filtered,1779281763.846000,1779281768.680000,4.834000
isaac_0_etiss_filtered,1779281768.698000,1779281770.350000,1.652000
fake_hls_0_filtered,1779281770.374000,1779281771.250000,.876000
assign_0_fake_hls_filtered,1779281771.273000,1779281772.340000,1.067000
select_0_filtered,1779281772.369000,1779281786.270000,13.901000
isaac_0_etiss_filtered_selected,1779281786.293000,1779281787.980000,1.687000
fake_hls_0_filtered_selected,1779281788.007000,1779281788.850000,.843000
assign_0_fake_hls_filtered_selected,1779281788.872000,1779281790.020000,1.148000
compare_0_filtered_selected,1779281790.042000,1779281801.810000,11.768000
assign_0_compare_filtered_selected,1779281801.838000,1779281801.860000,.022000
retrace_0_filtered_selected,1779281801.888000,1779281809.890000,8.002000
reanalyze_0_filtered_selected,1779281809.913000,1779281863.210000,53.297000
assign_0_util_filtered_selected,1779281863.231000,1779281863.860000,.629000
etiss_perf_0_filtered_selected,1779281863.885000,1779282536.900000,673.015000
compare_perf_0_filtered_selected,1779282536.924000,1779282554.420000,17.496000
retrace_perf_0_filtered_selected,1779282554.443000,1779282561.160000,6.717000
report_0,1779282561.187000,1779282561.870000,.683000
