,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,sglib-combined,rv32im_zicsr_zifencei,2415224,1.0,8144,9908,7268,1.0
1,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom0single,2415224,1.0,8144,9908,7268,1.0
2,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom1single,2415224,1.0,8144,9908,7268,1.0
3,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom2single,2415224,1.0,8144,9908,7268,1.0
4,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom3single,2295686,0.9505064540597477,7996,9908,7120,0.9796367638965328
5,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom4single,2415224,1.0,8144,9908,7268,1.0
6,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom5single,2295685,0.9505060400194764,7996,9908,7120,0.9796367638965328
7,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom6single,2415224,1.0,8144,9908,7268,1.0
8,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom7single,2415224,1.0,8144,9908,7268,1.0
9,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom8single,2415224,1.0,8144,9908,7268,1.0
10,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom9single,2415224,1.0,8144,9908,7268,1.0
11,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom10single,2415224,1.0,8144,9908,7268,1.0
12,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom11single,2415224,1.0,8144,9908,7268,1.0
13,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom12single,2415224,1.0,8144,9908,7268,1.0
14,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom13single,2415224,1.0,8144,9908,7268,1.0
15,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom14single,2415224,1.0,8144,9908,7268,1.0
16,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom15single,2415224,1.0,8144,9908,7268,1.0
17,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom16single,2415224,1.0,8144,9908,7268,1.0
18,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom17single,2415224,1.0,8144,9908,7268,1.0
19,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom18single,2415224,1.0,8144,9908,7268,1.0
20,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom19single,2415224,1.0,8144,9908,7268,1.0
21,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom20single,2406524,0.9963978496404474,8144,9908,7268,1.0
22,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom21single,2415224,1.0,8144,9908,7268,1.0
23,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom22single,2415224,1.0,8144,9908,7268,1.0
24,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom23single,2415224,1.0,8144,9908,7268,1.0
25,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom24single,2415224,1.0,8144,9908,7268,1.0
26,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom25single,2415224,1.0,8144,9908,7268,1.0
27,sglib-combined,rv32im_zicsr_zifencei_xisaaccustom26single,2415224,1.0,8144,9908,7268,1.0
