,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,tarfind,rv32im_zicsr_zifencei,1213490,1.0,3664,10228,3588,1.0
1,tarfind,rv32im_zicsr_zifencei_xisaaccustom0single,1213490,1.0,3664,10228,3588,1.0
2,tarfind,rv32im_zicsr_zifencei_xisaaccustom1single,1213490,1.0,3664,10228,3588,1.0
3,tarfind,rv32im_zicsr_zifencei_xisaaccustom2single,1213490,1.0,3664,10228,3588,1.0
4,tarfind,rv32im_zicsr_zifencei_xisaaccustom3single,1104920,0.9105307831131696,3648,10228,3572,0.9955406911928651
5,tarfind,rv32im_zicsr_zifencei_xisaaccustom4single,1213490,1.0,3664,10228,3588,1.0
6,tarfind,rv32im_zicsr_zifencei_xisaaccustom5single,1141110,0.9403538554087796,3648,10228,3572,0.9955406911928651
7,tarfind,rv32im_zicsr_zifencei_xisaaccustom6single,1141110,0.9403538554087796,3648,10228,3572,0.9955406911928651
8,tarfind,rv32im_zicsr_zifencei_xisaaccustom7single,1213490,1.0,3664,10228,3588,1.0
9,tarfind,rv32im_zicsr_zifencei_xisaaccustom8single,1213490,1.0,3664,10228,3588,1.0
10,tarfind,rv32im_zicsr_zifencei_xisaaccustom9single,1213490,1.0,3664,10228,3588,1.0
11,tarfind,rv32im_zicsr_zifencei_xisaaccustom10single,1213490,1.0,3664,10228,3588,1.0
12,tarfind,rv32im_zicsr_zifencei_xisaaccustom11single,1213490,1.0,3664,10228,3588,1.0
13,tarfind,rv32im_zicsr_zifencei_xisaaccustom12single,1177300,0.9701769277043898,3664,10228,3588,1.0
14,tarfind,rv32im_zicsr_zifencei_xisaaccustom13single,1213490,1.0,3664,10228,3588,1.0
15,tarfind,rv32im_zicsr_zifencei_xisaaccustom14single,1213490,1.0,3664,10228,3588,1.0
16,tarfind,rv32im_zicsr_zifencei_xisaaccustom15single,1177300,0.9701769277043898,3664,10228,3588,1.0
17,tarfind,rv32im_zicsr_zifencei_xisaaccustom16single,1213490,1.0,3664,10228,3588,1.0
18,tarfind,rv32im_zicsr_zifencei_xisaaccustom17single,1177300,0.9701769277043898,3664,10228,3588,1.0
19,tarfind,rv32im_zicsr_zifencei_xisaaccustom18single,1177300,0.9701769277043898,3664,10228,3588,1.0
20,tarfind,rv32im_zicsr_zifencei_xisaaccustom19single,1213490,1.0,3664,10228,3588,1.0
21,tarfind,rv32im_zicsr_zifencei_xisaaccustom20single,1213490,1.0,3664,10228,3588,1.0
22,tarfind,rv32im_zicsr_zifencei_xisaaccustom21single,1177300,0.9701769277043898,3664,10228,3588,1.0
