,uArch,Run CPI,description,details,total_area_estimate,Rank
0,CV32E40PXISAACV0,1.3866332112209565,all:0,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,1
1,CV32E40PXISAACV1,1.422955788628494,all:1,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,2
2,CV32E40PXISAACV2,1.422955788628494,all:2,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,2
3,CV32E40PXISAACV3,1.422955788628494,all:3,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,2
15,CV32E40PXISAACV15,1.422955788628494,all:15,"SG1(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,2
30,CV32E40PXISAACV30,1.422955788628494,all:30,"SG1(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,2
6,CV32E40PXISAACV6,1.422955788628494,all:6,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,2
16,CV32E40PXISAACV16,1.4592783660360316,all:16,"SG1(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
17,CV32E40PXISAACV17,1.4592783660360316,all:17,"SG1(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
18,CV32E40PXISAACV18,1.4592783660360316,all:18,"SG1(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
45,CV32E40PXISAACV45,1.4592783660360316,all:45,"SG1(II=1, lats={CUSTOM3: 3}, full_lats={CUSTOM3: 5}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
60,CV32E40PXISAACV60,1.4592783660360316,all:60,"SG1(II=3, lats={CUSTOM3: 3}, full_lats={CUSTOM3: 5}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
36,CV32E40PXISAACV36,1.4592783660360316,all:36,"SG1(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
21,CV32E40PXISAACV21,1.4592783660360316,all:21,"SG1(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
31,CV32E40PXISAACV31,1.4592783660360316,all:31,"SG1(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
12,CV32E40PXISAACV12,1.4592783660360316,all:12,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=3, lats={CUSTOM5: 3}, full_lats={CUSTOM5: 5}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
32,CV32E40PXISAACV32,1.4592783660360316,all:32,"SG1(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
33,CV32E40PXISAACV33,1.4592783660360316,all:33,"SG1(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
4,CV32E40PXISAACV4,1.4592783660360316,all:4,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
5,CV32E40PXISAACV5,1.4592783660360316,all:5,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
7,CV32E40PXISAACV7,1.4592783660360316,all:7,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
8,CV32E40PXISAACV8,1.4592783660360316,all:8,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,3
9,CV32E40PXISAACV9,1.4592783660360316,all:9,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 3}, full_lats={CUSTOM5: 5}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})",369.0,3
19,CV32E40PXISAACV19,1.495600943443569,all:19,"SG1(II=1, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,4
14,CV32E40PXISAACV14,1.495600943443569,all:14,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=3, lats={CUSTOM5: 3}, full_lats={CUSTOM5: 5}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,4
34,CV32E40PXISAACV34,1.495600943443569,all:34,"SG1(II=2, lats={CUSTOM3: 2}, full_lats={CUSTOM3: 4}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})",369.0,4
