label,t0,t1,td
bench_0,1779887123.722000,1779887128.250000,4.528000
trace_0,1779887128.272000,1779887136.800000,8.528000
isaac_0_load,1779887136.823000,1779887146.420000,9.597000
isaac_0_analyze,1779887146.435000,1779887153.490000,7.055000
isaac_0_visualize,1779887153.507000,1779887158.330000,4.823000
isaac_0_pick,1779887158.344000,1779887162.930000,4.586000
isaac_0_cdfg,1779887162.944000,1779887189.700000,26.756000
isaac_0_query,1779887189.720000,1779887214.680000,24.960000
isaac_0_generate,1779887214.703000,1779887223.650000,8.947000
assign_0_enc,1779887223.671000,1779887224.870000,1.199000
isaac_0_etiss,1779887224.888000,1779887228.280000,3.392000
seal5_0_splitted,1779887228.304000,1779887706.800000,478.496000
assign_0_seal5,1779887706.819000,1779887708.030000,1.211000
etiss_0,1779887708.044000,1779887734.460000,26.416000
compare_0,1779887734.475000,1779887746.570000,12.095000
compare_0_per_instr,1779887746.586000,1779887766.510000,19.924000
assign_0_compare_per_instr,1779887766.528000,1779887767.760000,1.232000
filter_0,1779887767.775000,1779887768.620000,.845000
spec_0_filtered,1779887768.630000,1779887769.140000,.510000
isaac_0_generate_filtered,1779887769.156000,1779887776.620000,7.464000
isaac_0_etiss_filtered,1779887776.636000,1779887779.480000,2.844000
hls_0_filtered,1779887779.500000,1779888462.040000,682.540000
assign_0_hls_filtered,1779888462.060000,1779888463.580000,1.520000
select_0_filtered,1779888463.598000,1779888514.610000,51.012000
isaac_0_etiss_filtered_selected,1779888514.625000,1779888516.760000,2.135000
hls_0_filtered_selected,1779888516.775000,1779889008.020000,491.245000
assign_0_hls_filtered_selected,1779889008.036000,1779889009.560000,1.524000
compare_0_filtered_selected,1779889009.575000,1779889023.400000,13.825000
assign_0_compare_filtered_selected,1779889023.419000,1779889023.430000,.011000
retrace_0_filtered_selected,1779889023.458000,1779889031.570000,8.112000
reanalyze_0_filtered_selected,1779889031.586000,1779889100.680000,69.094000
assign_0_util_filtered_selected,1779889100.717000,1779889101.660000,.943000
etiss_perf_0_filtered_selected,1779889101.674000,1779889280.530000,178.856000
compare_perf_0_filtered_selected,1779889280.552000,1779889297.870000,17.318000
retrace_perf_0_filtered_selected,1779889297.893000,1779889305.550000,7.657000
report_0,1779889305.564000,1779889306.460000,.896000
