,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_7_SOL_IDX_1,1,1,False,{'CUSTOM18': 3},{},,1909.330933,1909.330933,0.0,0.0
1,SG_7_SOL_IDX_0,0,1,True,{},{},3.0,,,,
2,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM4': 3},{},,1899.320923,1899.320923,0.0,0.0
3,SG_2_SOL_IDX_0,0,1,True,{},{},3.0,,,,
4,SG_4_SOL_IDX_1,1,1,False,{'CUSTOM10': 3},{},,198.940994,198.940994,0.0,0.0
5,SG_4_SOL_IDX_0,0,1,True,{},{},3.0,,,,
6,SG_6_SOL_IDX_1,1,1,False,{'CUSTOM17': 3},{},,1909.330933,1909.330933,0.0,0.0
7,SG_6_SOL_IDX_0,0,1,True,{},{},3.0,,,,
8,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM3': 4},{'mul': 1},,28071.929688,28071.929688,0.0,0.0
9,SG_1_SOL_IDX_0,0,4,True,{},{},4.0,,,,
10,SG_8_SOL_IDX_1,1,1,False,{'CUSTOM21': 3},{},,3613.461182,3613.461182,0.0,0.0
11,SG_8_SOL_IDX_0,0,1,True,{},{},3.0,,,,
12,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM6': 3},{},,1909.330933,1909.330933,0.0,0.0
13,SG_3_SOL_IDX_0,0,1,True,{},{},3.0,,,,
14,SG_5_SOL_IDX_1,1,1,False,{'CUSTOM16': 3},{},,3827.421143,3827.421143,0.0,0.0
15,SG_5_SOL_IDX_0,0,1,True,{},{},3.0,,,,
