,Model,Arch,uArch,Run Instructions,Run Instructions (rel.),Run Cycles,Run Cycles (rel.),Run CPI,Total ROM,Total RAM,ROM code,ROM code (rel.)
0,ud,rv32im_zicsr_zifencei,CV32E40PXISAACV0,2520073,1.0,3977391,1.0,1.5782840417718058,4176,2980,4100,1.0
1,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV0,2404788,0.9542533093287378,3862106,0.9710149190763492,1.6060068496682451,4124,2980,4048,0.9873170731707316
2,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV1,2404788,0.9542533093287378,3964090,0.9966558480169538,1.6484155775893758,4124,2980,4048,0.9873170731707316
3,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV2,2404788,0.9542533093287378,3964090,0.9966558480169538,1.6484155775893758,4124,2980,4048,0.9873170731707316
4,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV3,2404788,0.9542533093287378,3915314,0.9843925326929136,1.6281327085797168,4124,2980,4048,0.9873170731707316
5,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV4,2404788,0.9542533093287378,4017298,1.010033461633518,1.6705414365008475,4124,2980,4048,0.9873170731707316
6,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV5,2404788,0.9542533093287378,4017298,1.010033461633518,1.6705414365008475,4124,2980,4048,0.9873170731707316
7,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV6,2404788,0.9542533093287378,3915314,0.9843925326929136,1.6281327085797168,4124,2980,4048,0.9873170731707316
8,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV7,2404788,0.9542533093287378,4017298,1.010033461633518,1.6705414365008475,4124,2980,4048,0.9873170731707316
9,ud,rv32im_zicsr_zifencei_xisaaccustom0single_xisaaccustom4single,CV32E40PXISAACV8,2404788,0.9542533093287378,4017298,1.010033461633518,1.6705414365008475,4124,2980,4048,0.9873170731707316
