label,t0,t1,td
bench_0,1779899050.395000,1779899055.400000,5.005000
trace_0,1779899055.411000,1779899066.660000,11.249000
isaac_0_load,1779899066.673000,1779899081.460000,14.787000
isaac_0_analyze,1779899081.484000,1779899092.110000,10.626000
isaac_0_visualize,1779899092.135000,1779899097.030000,4.895000
isaac_0_pick,1779899097.050000,1779899101.710000,4.660000
isaac_0_cdfg,1779899101.722000,1779899120.000000,18.278000
isaac_0_query,1779899120.017000,1779899164.250000,44.233000
isaac_0_generate,1779899164.269000,1779899172.070000,7.801000
assign_0_enc,1779899172.086000,1779899173.050000,.964000
isaac_0_etiss,1779899173.061000,1779899175.520000,2.459000
seal5_0_splitted,1779899175.540000,1779899632.740000,457.200000
assign_0_seal5,1779899632.755000,1779899633.770000,1.015000
etiss_0,1779899633.792000,1779899658.110000,24.318000
compare_0,1779899658.134000,1779899669.390000,11.256000
compare_0_per_instr,1779899669.409000,1779899682.040000,12.631000
assign_0_compare_per_instr,1779899682.058000,1779899683.040000,.982000
filter_0,1779899683.067000,1779899684.140000,1.073000
spec_0_filtered,1779899684.158000,1779899684.720000,.562000
isaac_0_generate_filtered,1779899684.734000,1779899692.410000,7.676000
isaac_0_etiss_filtered,1779899692.427000,1779899694.880000,2.453000
hls_0_filtered,1779899694.897000,1779900171.400000,476.503000
assign_0_hls_filtered,1779900171.423000,1779900172.830000,1.407000
select_0_filtered,1779900172.842000,1779900194.740000,21.898000
isaac_0_etiss_filtered_selected,1779900194.757000,1779900196.800000,2.043000
hls_0_filtered_selected,1779900196.822000,1779900671.270000,474.448000
assign_0_hls_filtered_selected,1779900671.289000,1779900672.770000,1.481000
compare_0_filtered_selected,1779900672.791000,1779900687.050000,14.259000
assign_0_compare_filtered_selected,1779900687.065000,1779900687.080000,.015000
retrace_0_filtered_selected,1779900687.098000,1779900697.490000,10.392000
reanalyze_0_filtered_selected,1779900697.510000,1779900786.080000,88.570000
assign_0_util_filtered_selected,1779900786.092000,1779900786.980000,.888000
etiss_perf_0_filtered_selected,1779900786.998000,1779900964.050000,177.052000
compare_perf_0_filtered_selected,1779900964.061000,1779900982.700000,18.639000
retrace_perf_0_filtered_selected,1779900982.723000,1779900990.660000,7.937000
report_0,1779900990.680000,1779900991.560000,.880000
