label,t0,t1,td
bench_0,1779282771.277000,1779282775.370000,4.093000
trace_0,1779282775.397000,1779282784.830000,9.433000
isaac_0_load,1779282784.855000,1779282796.010000,11.155000
isaac_0_analyze,1779282796.030000,1779282802.540000,6.510000
isaac_0_visualize,1779282802.563000,1779282805.880000,3.317000
isaac_0_pick,1779282805.904000,1779282808.880000,2.976000
isaac_0_cdfg,1779282808.906000,1779282813.470000,4.564000
isaac_0_query,1779282813.490000,1779282832.790000,19.300000
isaac_0_generate,1779282832.816000,1779282838.040000,5.224000
assign_0_enc,1779282838.064000,1779282838.790000,.726000
isaac_0_etiss,1779282838.817000,1779282840.510000,1.693000
seal5_0_splitted,1779282840.540000,1779283144.770000,304.230000
assign_0_seal5,1779283144.791000,1779283145.450000,.659000
etiss_0,1779283145.470000,1779283168.200000,22.730000
compare_0,1779283168.223000,1779283178.360000,10.137000
compare_0_per_instr,1779283178.382000,1779283188.270000,9.888000
assign_0_compare_per_instr,1779283188.291000,1779283188.980000,.689000
filter_0,1779283189.005000,1779283189.800000,.795000
spec_0_filtered,1779283189.823000,1779283190.230000,.407000
isaac_0_generate_filtered,1779283190.256000,1779283195.340000,5.084000
isaac_0_etiss_filtered,1779283195.363000,1779283197.050000,1.687000
fake_hls_0_filtered,1779283197.069000,1779283197.920000,.851000
assign_0_fake_hls_filtered,1779283197.944000,1779283199.020000,1.076000
select_0_filtered,1779283199.048000,1779283216.520000,17.472000
isaac_0_etiss_filtered_selected,1779283216.539000,1779283218.270000,1.731000
fake_hls_0_filtered_selected,1779283218.294000,1779283219.200000,.906000
assign_0_fake_hls_filtered_selected,1779283219.226000,1779283220.320000,1.094000
compare_0_filtered_selected,1779283220.345000,1779283230.620000,10.275000
assign_0_compare_filtered_selected,1779283230.643000,1779283230.670000,.027000
retrace_0_filtered_selected,1779283230.693000,1779283239.510000,8.817000
reanalyze_0_filtered_selected,1779283239.538000,1779283298.790000,59.252000
assign_0_util_filtered_selected,1779283298.815000,1779283299.450000,.635000
etiss_perf_0_filtered_selected,1779283299.472000,1779283446.580000,147.108000
compare_perf_0_filtered_selected,1779283446.603000,1779283470.760000,24.157000
retrace_perf_0_filtered_selected,1779283470.789000,1779283477.120000,6.331000
report_0,1779283477.145000,1779283477.800000,.655000
